"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1196.625,0,71.8114,120.103,311.0474,2.971,3.5333,1.7484,2.131
1196.75,0.008,71.75,120.7431,337.1104,2.954,3.4207,2.3777,2.2464
1196.875,0.017,71.7529,117.557,337.2273,3.2578,3.6677,2.2015,2.2724
1197,0.025,71.643,111.0755,339.5309,3.8203,4.1762,1.9399,2.2296
1197.125,0.033,71.607,108.5222,334.7811,4.0419,4.3896,2.7029,3.1194
1197.25,0.042,71.6007,108.7405,293.5404,3.9958,4.3906,5.0123,4.6
1197.375,0.05,71.5856,112.1667,290.6058,3.6631,4.1409,2.7452,2.7109
1197.5,0.058,71.6047,119.15,310.8524,3.2726,3.7751,2.2161,2.2943
1197.625,0.067,71.5737,128.3012,334.4095,2.8186,3.2537,1.6841,2.1132
1197.75,0.075,71.5891,131.0946,344.6591,2.7183,3.0903,1.6949,1.9139
1197.875,0.083,71.6678,128.8249,337.3325,2.7585,3.0859,1.5012,1.8498
1198,0.092,71.7551,124.7804,335.9917,2.8099,3.1331,1.6348,1.9519
1198.125,0.1,71.8893,123.7401,341.0936,2.8454,3.1808,1.6877,2.0758
1198.25,0.109,71.9623,123.2454,341.0385,2.9166,3.2622,1.8572,2.0427
1198.375,0.117,72.0641,123.0273,338.9028,3.0082,3.3718,1.5354,1.916
1198.5,0.125,72.1791,120.2412,347.1403,3.0843,3.4591,1.9186,2.1058
1198.625,0.134,72.257,116.8223,333.2005,3.156,3.5401,2.1306,2.218
1198.75,0.142,72.2946,117.8551,332.6346,3.1334,3.5488,2.0446,2.2822
1198.875,0.15,72.3403,120.5466,330.2304,3.0754,3.5056,2.0828,2.2725
1199,0.159,72.4217,123.1799,324.898,2.9404,3.3725,1.7747,1.997
1199.125,0.167,72.5095,122.4381,332.696,2.8649,3.2955,1.7169,1.9669
1199.25,0.175,72.5386,122.8744,344.1525,2.9097,3.3267,1.5784,2.1206
1199.375,0.184,72.4305,127.2609,345.2422,3.0644,3.471,1.9376,2.356
1199.5,0.192,72.3707,128.563,337.2635,3.2663,3.6698,1.7902,2.205
1199.625,0.2,72.3424,124.0893,309.1133,3.4788,3.8853,4.8292,4.602
1199.75,0.209,72.5143,121.4415,299.3079,3.4831,3.908,2.9859,2.8064
1199.875,0.217,72.7979,119.07,326.2289,3.4081,3.8627,1.9364,2.083
1200,0.225,73.0953,115.2292,336.0046,3.2366,3.7352,1.6907,1.9969
1200.125,0.234,73.4059,112.7814,342.15,3.0308,3.5281,1.6719,2.0616
1200.25,0.242,73.6837,112.0358,337.777,2.8775,3.3217,1.9726,2.1221
1200.375,0.25,73.896,114.0726,341.723,2.8888,3.2938,1.9689,2.173
1200.5,0.259,74.0847,115.3746,338.0876,2.9432,3.3312,1.9024,2.0461
1200.625,0.267,74.1392,114.6545,339.579,2.9151,3.3047,1.6768,1.845
1200.75,0.275,74.2092,116.5749,334.4619,2.833,3.2115,1.7502,2.0048
1200.875,0.284,74.2539,118.8081,336.3073,2.7726,3.1498,1.6974,1.9609
