"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1144.625,0,73.6761,110.0279,339.057,3.245,2.8258,2.2409,1.9062,2.2177
1144.75,0.008,73.1345,110.6896,339.3389,3.2317,2.7721,2.236,1.9,2.2117
1144.875,0.017,69.8511,110.9961,338.7031,3.2388,2.7555,2.2475,1.903,2.2166
1145,0.025,65.0033,115.2365,336.989,3.2342,2.7757,2.2753,1.9042,2.2378
1145.125,0.033,64.804,113.2608,342.0338,3.1949,2.7348,2.3117,1.857,2.1797
1145.25,0.042,64.7593,113.365,342.7494,3.1874,2.7616,2.3441,1.8475,2.1665
1145.375,0.05,64.5758,112.5507,342.17,3.1962,2.8372,2.3682,1.8541,2.1739
1145.5,0.058,64.3847,110.821,342.762,3.198,2.9374,2.3834,1.8549,2.1675
1145.625,0.067,63.3743,112.8183,341.1452,3.2132,3.0617,2.3791,1.8647,2.183
1145.75,0.075,61.5116,117.0642,335.5138,3.2544,3.1757,2.3605,1.9178,2.2419
1145.875,0.083,61.1439,116.8181,333.7123,3.2814,3.2001,2.3398,1.9373,2.2592
1146,0.092,63.0925,116.7479,334.4356,3.2667,3.1529,2.3129,1.925,2.2457
1146.125,0.1,65.7339,113.9322,336.6883,3.2461,3.0262,2.2834,1.8905,2.2081
1146.25,0.109,67.2887,111.9226,338.7772,3.2169,2.9018,2.2612,1.8734,2.1709
1146.375,0.117,67.6069,111.7193,339.7184,3.2041,2.8415,2.2545,1.8633,2.1574
1146.5,0.125,67.5946,109.4951,338.8414,3.2267,2.9251,2.2748,1.8792,2.1702
1146.625,0.134,70.1673,105.9913,327.7329,3.436,3.2245,2.3228,2.0543,2.3764
1146.75,0.142,72.8733,103.1303,321.2238,3.6309,3.4412,2.3429,2.2123,2.5625
1146.875,0.15,74.4453,101.2158,318.2882,3.7663,3.5267,2.3338,2.3135,2.677
1147,0.159,73.9799,101.6381,317.9616,3.8016,3.4746,2.3019,2.3178,2.6783
1147.125,0.167,71.8231,106.7504,322.4187,3.5661,3.3252,2.2677,2.1455,2.478
1147.25,0.175,71.3543,107.2837,328.8563,3.4145,3.0851,2.2465,2.0128,2.3375
1147.375,0.184,71.3543,107.2268,333.9385,3.3103,2.9085,2.2413,1.935,2.2384
1147.5,0.192,71.3543,104.7723,335.5766,3.33,2.8847,2.2539,1.928,2.2296
1147.625,0.2,71.5193,103.7907,335.3474,3.3415,2.9764,2.278,1.9342,2.2394
1147.75,0.209,71.7255,106.6075,337.0531,3.2801,3.0289,2.2986,1.8977,2.2061
1147.875,0.217,72.0808,110.4909,341.0056,3.22,2.9944,2.3085,1.8428,2.141
1148,0.225,74.1243,112.757,341.6888,3.1999,2.9365,2.301,1.8283,2.1348
1148.125,0.234,72.0897,110.7178,341.8099,3.2061,2.8726,2.2894,1.833,2.1321
1148.25,0.242,67.0034,108.343,340.8116,3.2152,2.8293,2.2846,1.8482,2.1434
1148.375,0.25,61.9584,106.6786,338.8614,3.2462,2.813,2.2882,1.8756,2.1643
1148.5,0.259,61.0923,105.9972,336.5819,3.2831,2.8346,2.301,1.9025,2.2058
1148.625,0.267,61.8244,103.1595,330.2185,3.4191,3.0964,2.3312,2.0096,2.346
1148.75,0.275,63.7214,97.5448,317.9715,3.8908,3.6122,2.3655,2.3532,2.7606
1148.875,0.284,64.7572,92.8242,304.9199,4.7352,4.2085,2.3951,2.9361,3.4768
1149,0.292,64.7077,92.0797,294.6641,6.3545,4.7442,2.4072,3.4864,4.0582
1149.125,0.301,64.7009,96.6785,291.649,5.5828,4.9794,2.3803,3.5274,4.0531
1149.25,0.309,64.7009,101.6307,296.0163,4.8093,4.8053,2.3331,3.2179,3.7122
1149.375,0.317,64.9792,105.9682,308.4415,4.1345,4.14,2.285,2.671,3.0533
1149.5,0.326,66.9141,106.9163,321.2664,3.6304,3.4553,2.2548,2.1927,2.5447
1149.625,0.334,69.6016,105.6405,329.6568,3.4393,3.1838,2.2564,2.0117,2.3562
1149.75,0.342,71.2684,103.8392,333.257,3.3827,3.1243,2.2679,1.9685,2.2834
1149.875,0.351,71.5949,102.0669,332.944,3.4029,3.1451,2.2805,1.9815,2.3105
1150,0.359,71.2924,102.1697,334.031,3.3812,3.1247,2.29,1.9647,2.2943
1150.125,0.367,75.4474,100.5276,331.3457,3.4538,3.1465,2.2883,2.0196,2.362
1150.25,0.376,76.1382,99.4868,331.7076,3.4549,3.1001,2.2886,2.0174,2.3608
1150.375,0.384,76.1175,98.2624,335.3567,3.3822,2.9773,2.2869,1.9654,2.2962
1150.5,0.392,77.231,96.951,340.5629,3.3043,2.8205,2.2791,1.8937,2.2079
