"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1245.5,0,67.3192,116.6019,323.3461,2.7669,3.1247,1.64,1.9407
1245.625,0.008,67.2136,116.3261,339.6921,3.4352,3.6802,1.625,1.9928
1245.75,0.017,67.1377,114.7747,328.5979,3.861,4.03,1.78,2.1818
1245.875,0.025,67.0785,112.8518,306.8354,4.3325,4.4159,2.8088,3.1385
1246,0.034,67.0508,110.7315,291.7608,4.1365,4.2926,3.0305,3.0405
1246.125,0.042,67.0208,112.4244,327.2232,3.6717,3.9289,2.3481,2.3072
1246.25,0.05,66.9852,116.569,345.4366,2.8903,3.2433,2.0983,2.0597
1246.375,0.059,66.9413,121.1105,353.6553,2.4678,2.8345,1.5382,1.6793
1246.5,0.067,66.914,121.3108,348.3091,2.3385,2.6817,1.4952,1.5634
1246.625,0.076,66.9223,122.4574,355.1163,2.4346,2.7412,1.4173,1.5078
1246.75,0.084,66.9808,123.6424,350.0959,2.4675,2.7727,1.3093,1.514
1246.875,0.092,67.031,121.7949,345.8596,2.4882,2.7917,1.4333,1.6405
1247,0.101,67.0856,118.4889,339.551,2.6899,2.9903,1.5172,1.6288
1247.125,0.109,67.1132,114.4461,357.6385,2.9327,3.2364,1.3553,1.5363
1247.25,0.117,67.1204,113.8724,346.0356,2.959,3.2702,1.601,1.6611
1247.375,0.126,67.1413,117.4358,333.7392,2.9727,3.2797,1.7582,1.8264
1247.5,0.134,67.1587,119.223,342.5353,2.942,3.2681,1.6889,1.7854
1247.625,0.143,67.1701,121.7936,342.4082,2.7635,3.1154,2.0069,1.8044
1247.75,0.151,67.1132,120.4927,348.0514,2.4716,2.8659,1.649,1.6872
1247.875,0.159,67.0492,114.221,349.9905,2.3137,2.7637,1.6305,1.753
1248,0.168,66.9326,111.1355,353.3876,2.785,3.2369,1.6294,1.9683
1248.125,0.176,66.8512,108.3599,351.7057,3.5858,4.002,1.8731,2.1825
1248.25,0.185,66.771,106.0068,334.2357,4.122,4.4548,2.697,2.7561
1248.375,0.193,66.7457,107.0715,270.6168,4.291,4.6159,8.5563,6.7241
1248.5,0.201,66.8002,108.2995,265.9877,4.0901,4.4728,5.5126,4.3289
1248.625,0.21,66.9239,112.5035,334.7312,3.482,3.9851,1.6373,1.8231
1248.75,0.218,66.969,109.8334,355.3276,2.6507,3.1508,1.6561,1.7169
1248.875,0.227,66.9504,105.8023,354.7593,2.4865,2.8979,1.6605,1.6759
1249,0.235,66.8662,103.3572,338.114,2.7506,3.0551,2.3862,1.9544
1249.125,0.243,66.8006,105.8269,343.8899,2.8461,3.1038,1.8409,1.7037
1249.25,0.252,66.7433,108.0602,342.9252,2.7777,3.0489,1.4818,1.5357
1249.375,0.26,66.6903,107.8327,344.8581,2.5267,2.7811,1.4078,1.5236
1249.5,0.268,66.6449,109.9416,357.9343,2.4817,2.7545,1.3368,1.5128
1249.625,0.277,66.5552,109.5197,357.6579,2.2346,2.6594,1.2176,1.4556
1249.75,0.285,66.4769,106.5435,355.5916,2.3379,2.8393,1.3258,1.606
1249.875,0.294,66.3674,102.8886,347.338,3.4925,4.0795,1.6127,1.578
1250,0.302,66.3319,94.7182,336.2956,5.0685,5.657,1.5994,1.8518
1250.125,0.31,66.3497,87.0174,300.7383,6.9315,7.4227,5.2675,4.6007
1250.25,0.319,66.4184,89.0736,251.1383,9.9449,9.8294,9.5073,7.3776
1250.375,0.327,66.4714,100.0946,262.0077,8.6068,8.4718,5.5118,4.3235
1250.5,0.336,66.5018,110.4427,281.2473,5.1437,5.5156,3.3672,3.2621
1250.625,0.344,66.5093,114.9471,302.943,3.4982,3.9642,2.8993,2.6872
1250.75,0.352,66.4919,115.5383,344.7922,3.0867,3.4757,1.7839,1.8793
1250.875,0.361,66.4425,114.4413,365.9508,2.9508,3.2139,1.3221,1.5988
1251,0.369,66.3999,111.1648,345.3751,2.8918,3.0177,2.0314,1.9321
1251.125,0.378,66.4117,109.748,309.7868,3.0179,3.0612,3.1205,3.1549
1251.25,0.386,66.4417,110.3972,322.4158,2.8798,3.0186,2.3055,2.3404
1251.375,0.394,66.4421,108.422,343.2228,2.5394,2.8478,1.5613,1.7856
1251.5,0.403,66.2975,107.4331,347.4601,3.1402,3.4705,1.4038,1.6063
1251.625,0.411,66.0955,104.6365,344.2529,4.5728,4.7794,1.5429,2.2312
1251.75,0.419,65.9339,97.8139,293.467,6.6487,6.5981,4.418,5.2129
1251.875,0.428,65.9453,98.316,257.9613,7.4386,7.2167,5.9664,6.7065
1252,0.436,66.1568,101.4315,265.3129,7.4857,7.2391,5.3712,5.6568
1252.125,0.445,66.4168,107.4812,303.6557,5.1899,5.336,2.7075,2.5811
1252.25,0.453,66.567,113.7886,355.952,3.2023,3.5435,1.4167,1.9662
1252.375,0.461,66.5884,115.7855,363.4757,2.2147,2.5342,1.3819,1.6887
1252.5,0.47,66.5655,115.3197,367.9545,2.1479,2.3833,1.3372,1.6164
1252.625,0.478,66.4975,112.5394,370.6965,2.4471,2.5314,1.2969,1.4891
1252.75,0.487,66.388,108.598,369.5741,2.5469,2.5414,1.2973,1.439
1252.875,0.495,66.3173,107.404,341.5869,2.5287,2.5261,1.997,1.6053
1253,0.503,66.2394,107.5575,328.0167,2.4862,2.5149,1.5675,1.6912
1253.125,0.512,66.2042,115.6018,367.573,2.4679,2.5351,1.134,1.43
1253.25,0.52,66.1896,118.6056,369.1512,2.2718,2.3888,1.0891,1.3305
1253.375,0.529,66.2038,121.6591,359.5115,2.3234,2.426,1.1567,1.3326
1253.5,0.537,66.2394,123.78,359.834,2.4898,2.5958,1.0847,1.2945
1253.625,0.545,66.3066,126.7213,365.2402,2.6221,2.78,1.3458,1.8833
1253.75,0.554,66.3528,125.728,357.4656,2.7396,2.9213,1.4172,1.8797
1253.875,0.562,66.4058,123.2015,353.3426,3.011,3.1539,1.3977,1.5794
1254,0.57,66.4595,119.8986,351.2018,3.125,3.2433,1.391,1.849
1254.125,0.579,66.4919,118.0806,352.401,2.9468,3.1086,1.543,1.99
1254.25,0.587,66.5137,114.311,355.8912,2.8414,3.0118,1.4055,1.7551
1254.375,0.596,66.5228,112.3336,360.5896,2.7332,2.8693,1.3649,1.7934
1254.5,0.604,66.503,112.208,362.5331,2.5524,2.7097,1.2262,1.5427
1254.625,0.612,66.4323,113.8608,364.6481,2.2253,2.4201,1.2621,1.4749
1254.75,0.621,66.3682,111.5612,360.5566,2.3802,2.5386,1.2387,1.359
1254.875,0.629,66.2884,102.4277,366.4796,2.4761,2.5818,1.0537,1.2429
1255,0.638,66.258,97.6136,359.891,2.4634,2.5418,1.4451,1.4528
1255.125,0.646,66.2493,98.2385,336.0881,2.4441,2.5,1.5534,1.5618
1255.25,0.654,66.2742,103.2756,348.7408,2.679,2.6975,1.6096,1.4219
1255.375,0.663,66.2896,106.9732,369.6384,2.3373,2.4401,1.1053,1.2961
1255.5,0.671,66.2702,108.414,366.8337,2.0647,2.1757,1.3001,1.567
1255.625,0.68,66.2177,111.6717,359.595,2.0196,2.1062,1.2787,1.409
1255.75,0.688,66.1667,114.8699,367.0617,2.0176,2.1094,1.0659,1.218
1255.875,0.696,66.1351,116.5526,375.8459,1.8736,2.0239,1.0646,1.207
1256,0.705,66.1291,115.7758,378.8142,1.8591,2.0177,1.1434,1.2439
1256.125,0.713,66.1366,117.4024,369.1574,2.0001,2.1593,1.1357,1.2876
1256.25,0.721,66.1335,116.3405,364.777,2.0616,2.2487,1.0809,1.2829
1256.375,0.73,66.1177,108.5814,348.6232,2.0909,2.3407,1.2583,1.4158
1256.5,0.738,66.0675,98.3447,338.0056,2.2925,2.6189,1.1943,1.4337
1256.625,0.747,66.0153,93.7932,342.9703,2.9938,3.294,1.3489,1.529
1256.75,0.755,65.9892,88.8784,330.8716,4.6005,4.7714,1.5722,1.6663
1256.875,0.763,66.0046,87.9357,320.3094,5.2195,5.2936,1.9118,2.0466
1257,0.772,66.0576,88.1672,289.3117,4.833,4.8715,5.2596,4.1765
1257.125,0.78,66.1165,95.8018,246.6285,3.9397,4.0956,4.321,2.7885
1257.25,0.789,66.1343,102.9284,312.648,3.2474,3.5346,1.3208,1.4379
1257.375,0.797,66.1402,110.4599,370.2983,1.877,2.2577,1.1527,1.3001
1257.5,0.805,66.1335,113.6155,369.073,1.5964,1.944,1.1684,1.2997
1257.625,0.814,66.1287,111.9936,379.2672,1.6646,1.9707,1.1451,1.3065
1257.75,0.822,66.1232,106.3704,379.0596,1.9916,2.2737,1.1601,1.3863
1257.875,0.831,66.1098,101.5381,373.5631,2.5147,2.7477,1.2078,1.3878
1258,0.839,66.0532,98.0119,335.0483,3.0194,3.1819,1.7159,2.0973
1258.125,0.847,65.9374,99.8088,296.5145,3.1385,3.3338,3.4233,3.564
1258.25,0.856,65.7493,102.6098,300.7306,3.1823,3.4402,2.8105,3.0068
1258.375,0.864,65.2703,106.1619,361.6372,2.9463,3.3043,1.3881,1.5583
1258.5,0.872,64.7846,107.026,360.9485,2.348,2.7526,1.2435,1.3873
1258.625,0.881,63.8139,109.6362,350.0484,2.1202,2.49,1.1687,1.3189
1258.75,0.889,62.8681,112.5429,356.0374,2.3204,2.6738,1.1618,1.343
1258.875,0.898,62.0646,112.9151,357.6197,2.4228,2.7821,1.1532,1.3857
1259,0.906,60.9331,111.7255,356.335,2.4469,2.7563,1.2116,1.4155
1259.125,0.914,60.1604,116.0474,348.8225,2.5474,2.8231,1.4168,1.4548
1259.25,0.923,59.5146,123.6847,350.0224,2.4534,2.7748,1.2729,1.4955
1259.375,0.931,59.0048,123.6981,367.0016,2.4486,2.7944,1.1904,1.4409
1259.5,0.94,58.6633,120.1614,371.1735,2.6979,3.0026,1.2715,1.4613
1259.625,0.948,58.1993,109.2037,361.7927,3.1498,3.36,1.5242,1.7394
1259.75,0.956,57.8527,103.9029,342.6198,3.1997,3.4011,1.96,2.1131
1259.875,0.965,57.4144,101.8372,315.1643,3.2574,3.434,2.8815,2.4557
1260,0.973,56.9812,103.1265,324.1044,3.1725,3.3834,1.965,1.9695
1260.125,0.982,56.3414,107.5673,342.0395,2.7354,3.0344,1.3663,1.573
1260.25,0.99,55.0822,108.8656,343.4249,3.0976,3.3454,2.2647,2.2955
1260.375,0.998,53.7151,108.7708,336.7817,3.4399,3.6753,1.9877,2.4348
1260.5,1.023,52.0373,107.916,318.8856,4.3454,4.5713,2.9254,3.2582
1260.625,1.051,50.347,103.1549,275.3094,5.7571,5.8831,4.172,4.5636
1260.75,1.08,49.2392,98.1034,289.2936,7.5527,7.4921,2.4777,3.9985
1260.875,1.108,48.791,91.8493,274.0159,7.2286,7.4658,5.0627,7.1021
1261,1.136,49.2787,92.7087,264.9659,6.8637,7.3429,6.6241,7.4298
1261.125,1.165,50.0268,96.4092,291.8679,7.107,7.7928,3.8587,4.9427
1261.25,1.193,50.0446,98.4953,296.1279,6.4576,7.2283,2.965,4.4426
1261.375,1.222,49.7371,102.8121,293.284,6.024,6.8139,3.1529,4.6456
1261.5,1.25,49.6838,102.2427,287.1615,6.1432,6.7548,3.988,5.3439
1261.625,1.278,50.0826,104.3513,291.6528,6.2813,6.8168,4.394,5.6055
1261.75,1.307,50.5683,109.6674,292.5251,5.7002,6.235,3.3875,4.5315
1261.875,1.335,50.6517,115.0991,289.1241,5.0997,5.6071,2.7942,4.1145
1262,1.364,49.7134,118.6618,291.5598,4.5152,5.0115,2.8501,3.8231
1262.125,1.392,46.2852,116.5503,300.2389,4.3532,4.8505,2.2354,3.2862
1262.25,1.42,41.6654,112.8123,298.7318,4.3258,4.8645,2.1426,3.2284
1262.375,1.449,31.9796,105.0581,293.4885,4.9677,5.5316,2.4509,3.5681
1262.5,1.477,24.4186,98.1494,286.6185,6.1274,6.6626,2.8497,4.1267
1262.625,1.506,15.9797,86.0155,286.428,8.0663,8.5203,2.9903,4.7193
1262.75,1.534,9.8683,74.0805,297.4212,10.0206,10.5852,3.1328,6.4971
1262.875,1.562,9.281,69.6182,305.6327,10.8888,11.4613,3.2488,6.9208
1263,1.591,12.1962,68.1822,299.9113,12.1817,12.8176,3.2099,6.5527
1263.125,1.619,15.1474,71.8323,296.2522,9.7399,10.6236,3.0989,6.2805
1263.25,1.648,15.988,74.6986,283.9846,8.4155,9.332,3.3019,6.9631
1263.375,1.676,12.7203,82.649,285.2745,9.3389,10.1956,3.6462,6.5401
1263.5,1.705,8.9249,81.0259,294.2753,10.0322,10.8745,2.0235,3.2088
1263.625,1.733,4.9415,75.9723,296.5632,10.2742,11.1259,2.0076,4.3077
1263.75,1.761,5.4051,76.7918,306.6105,12.021,12.7222,3.2038,7.0229
1263.875,1.79,9.9984,80.5695,305.2262,13.1016,13.9704,3.0607,6.5361
1264,1.818,19.8648,86.5865,302.3866,10.4893,11.6374,3.2705,7.1423
1264.125,1.847,27.4207,92.7802,306.5941,9.3731,10.6174,3.3845,6.8639
1264.25,1.875,37.9041,101.9755,299.8048,7.1878,8.4565,3.411,6.3601
1264.375,1.903,44.4111,106.6209,295.609,6.0151,7.1932,3.8063,6.4239
1264.5,1.932,47.6057,109.6803,302.8469,6.0371,7.1375,4.0167,5.124
1264.625,1.96,49.9,109.6674,309.0327,6.2111,7.2078,2.8834,3.8746
1264.75,1.989,50.7624,111.315,288.1456,5.8697,6.7521,4.4342,5.644
1264.875,2.034,52.148,113.6707,280.964,5.7229,6.3983,6.0644,6.6225
1265,2.091,53.9261,115.8227,289.9165,5.3295,5.8861,4.1643,5.4993
1265.125,2.148,55.4114,119.0398,317.4838,4.0697,4.6176,2.9839,3.7823
1265.25,2.205,55.8817,123.9701,333.2857,2.9082,3.4858,2.0489,2.6597
1265.375,2.261,54.9861,127.1495,346.3932,2.6265,3.1602,2.0107,2.4419
1265.5,2.318,53.0167,128.4642,351.1852,2.6457,3.1147,1.7577,2.1006
1265.625,2.375,50.1181,129.271,348.4407,3.0153,3.4625,1.8563,2.1417
1265.75,2.432,47.1057,131.0677,333.0072,3.7462,4.1867,2.137,2.327
1265.875,2.489,43.7451,127.4488,315.4872,5.2694,5.6652,2.3155,3.2747
1266,2.545,41.3263,122.7006,291.3741,6.7067,7.1448,3.2316,5.1249
1266.125,2.602,40.2497,126.9092,296.8177,7.1465,7.6954,4.9893,7.6288
