"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1368.125,0,81.4267,105.2525,338.2446,3.2953,3.2062,2.3514,1.9447,2.2556
1368.25,0.008,79.734,106.8756,334.5607,3.3484,3.3757,2.3696,1.9862,2.3087
1368.375,0.017,77.2127,107.3046,329.0238,3.4407,3.6517,2.3599,2.066,2.4051
1368.5,0.025,78.214,111.3709,324.0094,3.5608,3.9424,2.3354,2.1407,2.4922
1368.625,0.034,79.9507,112.8969,324.5032,3.5485,3.9997,2.3046,2.1248,2.474
1368.75,0.042,81.6658,109.435,326.2377,3.5283,3.9525,2.2685,2.1068,2.4426
1368.875,0.05,83.3314,102.5866,323.9455,3.6101,3.8247,2.2311,2.183,2.5355
1369,0.059,82.6863,97.0787,308.8311,4.247,3.4546,2.208,2.6526,3.0883
1369.125,0.067,81.0479,99.6351,325.3568,3.5547,3.1567,2.2267,2.155,2.4907
1369.25,0.076,78.1776,104.849,327.8829,3.4239,3.0216,2.2664,2.0707,2.3988
1369.375,0.084,76.2303,108.9948,329.5618,3.3772,3.0425,2.315,2.0113,2.3335
1369.5,0.092,77.3275,108.4759,339.8808,3.2481,3.2677,2.36,1.8875,2.1872
1369.625,0.101,82.3334,101.0349,336.2994,3.4372,3.9937,2.384,1.9835,2.3024
1369.75,0.109,86.0472,95.8813,318.3063,4.1401,5.0713,2.3638,2.4389,2.8553
1369.875,0.118,84.9433,93.5496,310.165,4.9105,5.7529,2.3077,2.7796,3.2762
1370,0.126,80.814,94.7827,305.0844,5.049,5.7314,2.2495,2.9463,3.4787
1370.125,0.134,76.522,100.1394,299.9441,4.9384,5.0657,2.2331,3.0599,3.541
1370.25,0.143,74.6845,106.5503,303.5364,4.4707,4.2848,2.2553,2.7952,3.2294
1370.375,0.151,76.7817,112.1599,316.1526,3.7032,3.5928,2.3082,2.3056,2.6387
1370.5,0.16,76.0672,114.3825,329.0998,3.3801,3.2957,2.3489,1.9907,2.3078
1370.625,0.168,76.6653,110.1536,331.5316,3.3753,3.3867,2.3574,1.9744,2.2772
1370.75,0.176,76.7635,106.0095,329.5773,3.442,3.5133,2.3468,2.0143,2.3462
1370.875,0.185,75.9243,102.9909,325.7512,3.5708,3.5905,2.3201,2.105,2.4398
1371,0.193,74.668,100.5492,322.0036,3.7014,3.5978,2.2816,2.2016,2.5695
1371.125,0.202,73.2945,106.3242,323.813,3.57,3.5309,2.2578,2.1267,2.4599
1371.25,0.21,76.8198,109.1613,330.1098,3.4132,3.3343,2.2457,1.9973,2.3181
1371.375,0.218,82.0171,111.5756,335.6481,3.2883,3.1495,2.2484,1.9084,2.2126
1371.5,0.227,84.3899,112.2636,338.4271,3.2458,3.0417,2.2653,1.8654,2.1648
1371.625,0.235,82.1167,107.8631,338.9314,3.2482,3.0147,2.2923,1.8742,2.1648
1371.75,0.244,82.6135,104.6424,338.4821,3.2773,3.0529,2.3191,1.8931,2.1841
1371.875,0.252,80.9622,101.7404,339.0469,3.2962,3.16,2.3313,1.8997,2.1953
1372,0.261,81.823,101.6736,336.4439,3.352,3.3304,2.322,1.9349,2.2524
1372.125,0.269,82.2867,102.265,333.6161,3.3892,3.46,2.2867,1.9723,2.2993
1372.25,0.277,80.4121,103.3277,333.1254,3.3981,3.5273,2.239,1.9803,2.2982
1372.375,0.286,77.8429,105.1773,332.8375,3.3965,3.52,2.1855,1.9792,2.2907
1372.5,0.294,78.5084,104.2396,325.17,3.5418,3.3763,2.1384,2.1135,2.443
1372.625,0.303,79.7631,105.8624,328.1387,3.4526,3.2124,2.1552,2.0384,2.3804
1372.75,0.311,81.3632,105.7188,330.2407,3.4229,3.2185,2.2062,2.0014,2.3415
1372.875,0.319,81.1624,103.6586,327.5048,3.5085,3.4671,2.27,2.0678,2.4141
1373,0.328,77.9825,99.9752,318.8796,3.8554,3.9446,2.3115,2.3226,2.728
1373.125,0.336,76.7222,94.8863,313.2131,4.1971,4.2093,2.2479,2.6002,3.0363
1373.25,0.345,75.0285,93.0268,309.4761,4.407,4.165,2.1986,2.7729,3.2461
1373.375,0.353,77.0487,94.1143,307.3831,4.4736,4.1091,2.1879,2.8391,3.3161
1373.5,0.361,79.5802,96.1417,311.1833,4.1559,3.8484,2.2138,2.6483,3.1126
1373.625,0.37,78.9451,97.1333,320.7529,3.7865,3.4809,2.2587,2.2844,2.6883
1373.75,0.378,78.5944,97.3753,326.7955,3.6121,3.3791,2.2887,2.1382,2.4987
1373.875,0.387,79.5809,97.8441,327.2034,3.605,3.4022,2.2857,2.1183,2.4945
1374,0.395,78.1479,103.4383,328.0575,3.517,3.4233,2.2717,2.0671,2.4251
1374.125,0.403,78.0056,108.2609,330.7571,3.428,3.2887,2.2807,1.9898,2.333
1374.25,0.412,77.9907,110.3653,332.7184,3.3698,3.1732,2.293,1.9459,2.2751
1374.375,0.42,79.6778,109.5793,332.7277,3.3695,3.129,2.3054,1.9459,2.2739
1374.5,0.429,87.4629,105.901,329.6689,3.4587,3.1391,2.3243,2.006,2.3678
1374.625,0.437,85.7478,99.3119,326.8551,3.6655,3.7469,2.3427,2.133,2.5028
1374.75,0.445,82.253,97.3155,317.4935,4.0583,4.5046,2.3468,2.4269,2.8868
1374.875,0.454,79.0708,97.404,306.976,4.4993,5.0568,2.3088,2.8599,3.3697
1375,0.462,76.9273,99.9176,298.9742,4.8004,5.2145,2.2372,3.1596,3.6846
1375.125,0.471,75.3014,106.9233,296.2712,4.7348,4.9899,2.198,3.1219,3.6647
1375.25,0.479,75.0897,110.0532,299.8474,4.5148,4.6042,2.1995,2.9547,3.415
1375.375,0.487,78.3338,109.5535,309.1768,4.1074,4.0457,2.2299,2.5961,3.0003
1375.5,0.496,78.4191,106.2345,318.4795,3.7694,3.6728,2.2442,2.2804,2.6714
1375.625,0.504,79.2917,101.4488,323.0558,3.6263,3.5941,2.2265,2.1674,2.5526
1375.75,0.513,80.7198,98.9091,324.7474,3.6046,3.6028,2.1972,2.1431,2.5345
1375.875,0.521,79.6374,99.9295,324.9306,3.5905,3.6417,2.1661,2.132,2.5162
1376,0.529,79.1601,101.2678,326.0715,3.5286,3.581,2.1519,2.0856,2.478
1376.125,0.538,77.8756,105.2274,325.4939,3.4955,3.3771,2.1547,2.0636,2.4391
1376.25,0.546,77.3821,105.302,325.7222,3.4576,3.2364,2.1571,2.0524,2.4249
1376.375,0.555,78.223,103.9523,328.0905,3.3993,3.1579,2.1644,2.0055,2.3823
1376.5,0.563,80.04,104.12,333.3339,3.2696,3.1088,2.1852,1.8918,2.249
1376.625,0.571,77.6308,99.3171,337.8291,3.2074,3.061,2.2198,1.852,2.2011
1376.75,0.58,75.5015,96.9872,337.9201,3.2025,2.955,2.2445,1.8613,2.2157
1376.875,0.588,74.8605,93.2596,342.7584,3.1473,2.8314,2.2525,1.8155,2.1639
1377,0.597,77.3804,90.6777,348.4277,3.0811,2.7463,2.2454,1.7715,2.1291
1377.125,0.605,81.2358,92.7915,344.7957,3.0953,2.708,2.2334,1.7854,2.132
1377.25,0.613,80.389,95.4534,341.8471,3.1148,2.649,2.227,1.7929,2.1503
1377.375,0.622,74.4688,97.8905,350.0475,2.9888,2.5942,2.2223,1.6941,2.0456
1377.5,0.63,75.2667,99.4469,350.3321,2.9747,2.6781,2.2208,1.6842,2.0335
1377.625,0.639,74.9789,102.6201,347.1169,3.0193,2.8043,2.2236,1.6968,2.0466
1377.75,0.647,72.8255,105.7682,347.5262,3.0061,2.9198,2.2206,1.6859,2.0367
1377.875,0.655,71.1361,108.3795,349.0446,2.989,3.0445,2.2118,1.671,2.0223
1378,0.664,72.7428,111.2411,343.7148,3.0768,3.223,2.2051,1.7135,2.0734
1378.125,0.672,72.6154,113.4131,342.535,3.0862,3.2551,2.2084,1.7253,2.0888
1378.25,0.681,71.623,115.3114,342.2302,3.0878,3.2336,2.2249,1.727,2.0982
1378.375,0.689,71.5933,116.6387,341.1244,3.0948,3.1702,2.2441,1.7365,2.1111
1378.5,0.697,73.4374,115.8389,340.0751,3.1028,3.0719,2.2565,1.7454,2.1144
1378.625,0.706,75.6531,110.5419,343.5458,3.0355,2.9418,2.2594,1.7062,2.0632
1378.75,0.714,75.9432,106.4197,344.9218,3.0126,2.8247,2.2729,1.7019,2.0452
