"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1461.25,11.33,72.0499,89.5769,281.5335,6.2788,7.3632,2.2667,3.7497,4.969
1461.375,11.353,70.3266,88.8208,282.9456,6.5751,7.7567,2.2913,3.7402,4.9995
1461.5,11.375,69.9963,94.9682,287.7656,6.397,7.6083,2.343,3.6443,4.8187
1461.625,11.397,72.1028,106.4834,294.0413,5.6753,6.7931,2.4,3.3602,4.3413
1461.75,11.42,74.2935,115.5751,300.2782,4.875,5.8371,2.4428,3.0768,3.9462
1461.875,11.442,75.7478,119.9145,305.6971,4.201,4.9821,2.4663,2.8465,3.686
1462,11.464,76.8051,120.2806,307.8661,3.8082,4.4293,2.4674,2.7668,3.574
1462.125,11.487,77.4492,119.6167,303.9549,3.8549,4.3998,2.4538,2.8364,3.6812
1462.25,11.509,76.9563,118.2251,299.2441,4.1369,4.6886,2.4486,2.9688,3.8139
1462.375,11.531,75.4443,115.6122,295.4334,4.5252,5.1421,2.4557,3.1079,3.9857
1462.5,11.554,73.3867,112.171,292.7386,4.9009,5.6165,2.4721,3.23,4.1598
1462.625,11.576,72.2197,111.9725,291.7253,5.073,5.8701,2.4886,3.2746,4.2005
1462.75,11.598,71.9953,114.1146,292.8672,5.0504,5.8874,2.498,3.233,4.1642
1462.875,11.621,71.9299,116.4892,295.1548,4.8646,5.6945,2.4968,3.1513,4.0493
1463,11.643,71.4484,115.9343,295.9969,4.6316,5.4232,2.4792,3.1146,3.9988
1463.125,11.665,70.2228,109.6151,293.0007,4.7464,5.5421,2.4369,3.2437,4.1727
1463.25,11.687,67.6327,101.0062,288.7274,5.3731,6.2639,2.3712,3.5039,4.5059
1463.375,11.71,62.4692,92.2141,284.1432,6.4901,7.5881,2.2878,3.7096,4.9083
1463.5,11.732,53.3715,84.8191,279.6631,7.9832,9.4054,2.2021,3.8182,5.2434
1463.625,11.754,41.0306,80.5331,276.6572,9.5547,11.4752,2.1387,3.9203,5.5931
1463.75,11.777,31.2389,76.8782,276.7151,10.964,13.453,2.08,3.9575,5.923
1463.875,11.799,23.9901,72.4049,279.7185,12.182,15.2633,2.0232,3.9189,6.1342
1464,11.821,17.4701,65.8145,283.9251,13.3148,16.9655,1.9649,3.8608,6.2901
1464.125,11.844,9.4637,58.2202,287.444,15.1015,19.3752,1.918,3.8785,6.6814
1464.25,11.866,1.3175,52.1093,291.2798,17.5706,22.6318,1.8863,3.8996,7.3707
1464.375,11.888,-6.0601,48.0814,295.1301,20.2559,26.2273,1.8686,3.988,7.4431
1464.5,11.911,-12.1055,46.0247,298.0105,22.33,29.1585,1.8593,4.0516,7.0677
1464.625,11.933,-16.694,46.5596,299.3293,22.2181,29.3106,1.8553,4.0668,7.0483
1464.75,11.955,-19.8881,48.4699,300.3248,20.7739,27.6038,1.8604,4.0221,7.1915
1464.875,11.978,-21.8341,50.7814,300.891,18.5853,24.7697,1.8691,3.9921,7.2433
1465,12,-23.3798,52.2659,300.6739,16.262,21.6243,1.878,3.8992,6.9574
1465.125,12.031,-24.5639,52.3468,299.9164,14.6076,19.3391,1.8769,3.865,6.5484
1465.25,12.062,-25.1607,51.9853,299.4178,13.7462,18.1016,1.8698,3.8263,6.3878
1465.375,12.094,-25.5773,50.7372,299.257,13.8711,18.1536,1.8593,3.8296,6.404
1465.5,12.125,-26.2155,48.0676,299.1845,15.0615,19.5971,1.8452,3.8544,6.6562
1465.625,12.156,-27.6343,44.7049,299.1179,17.5097,22.7629,1.8311,3.8928,7.2891
1465.75,12.188,-29.3207,42.5593,299.4886,20.3634,26.6052,1.817,4.0205,7.4489
1465.875,12.219,-31.0493,41.7048,300.3947,23.0447,30.38,1.7994,4.121,7.1256
1466,12.25,-32.5787,41.5878,301.8254,24.899,33.2183,1.7794,4.3536,6.7467
1466.125,12.281,-33.2823,41.3114,303.404,25.1496,33.9201,1.7681,4.3999,6.7207
1466.25,12.312,-33.7114,40.9364,304.5482,24.7418,33.5887,1.7618,4.3438,6.7617
1466.375,12.344,-34.019,40.5468,304.9037,24.1122,32.7752,1.7623,4.2794,6.9185
1466.5,12.375,-33.8221,40.4297,304.1575,23.6634,32.0557,1.7677,4.2183,6.982
1466.625,12.406,-28.3937,41.1376,302.4501,23.6615,31.9036,1.7731,4.21,6.9665
1466.75,12.438,-21.3184,41.9005,300.936,23.991,32.2435,1.7759,4.1934,6.9309
1466.875,12.469,-17.2652,41.924,299.9453,24.6354,33.0511,1.7787,4.2512,6.8522
1467,12.5,-17.861,40.6753,299.6446,25.5784,34.2966,1.7747,4.4214,6.7679
1467.125,12.531,-21.6341,39.1386,300.7343,26.6727,35.8136,1.7599,4.582,6.628
1467.25,12.562,-22.1582,38.4878,302.5605,27.6302,37.21,1.743,4.7109,6.4977
1467.375,12.594,-19.5603,38.8494,304.618,28.3535,38.3441,1.7278,4.7811,6.5014
1467.5,12.625,-14.9287,40.1474,306.2321,28.7828,39.082,1.7207,4.8274,6.6003
1467.625,12.656,-8.017,41.8182,306.1974,28.7346,39.0351,1.7402,4.8118,6.553
1467.75,12.688,0.2268,44.0639,304.2941,27.9033,37.8098,1.7888,4.6902,6.3878
1467.875,12.719,8.6342,48.0355,300.3741,25.8617,34.8895,1.8675,4.4299,6.5815
1468,12.75,17.8004,55.235,294.5012,22.3234,29.9523,1.9814,3.939,7.2299
1468.125,12.781,29.3147,68.1741,288.2659,17.4986,23.3309,2.1234,3.9305,7.0886
1468.25,12.812,42.3247,82.5266,284.1229,13.0202,17.2044,2.2502,3.859,6.1363
1468.375,12.844,55.3534,95.773,282.0331,9.4759,12.3052,2.3434,3.839,5.4855
1468.5,12.875,67.011,105.5201,281.2424,7.2578,9.1236,2.3923,3.7409,4.9396
1468.625,12.906,76.3978,111.2184,282.7745,6.3014,7.6036,2.4165,3.6076,4.6518
1468.75,12.938,82.5389,115.512,285.371,5.8281,6.7676,2.4299,3.491,4.4686
1468.875,12.969,85.9153,118.3137,287.1665,5.6138,6.3524,2.4346,3.3961,4.3601
1469,13,87.8862,118.7358,287.8719,5.4758,6.1366,2.4252,3.3599,4.3272
1469.125,13.026,89.344,114.4871,289.4351,5.3766,6.0583,2.3982,3.3716,4.3009
1469.25,13.052,90.0411,107.7754,289.813,5.428,6.1835,2.3535,3.4346,4.4034
1469.375,13.078,89.6749,99.8431,288.7339,5.7341,6.6233,2.2984,3.5669,4.6179
1469.5,13.104,87.5528,92.0852,287.5533,6.441,7.543,2.2279,3.6727,4.9057
1469.625,13.13,82.3706,86.8098,287.1648,7.7478,9.1594,2.1509,3.7146,5.147
1469.75,13.156,76.4748,83.6887,286.3665,9.1029,10.8097,2.0952,3.7522,5.3814
1469.875,13.182,71.5793,83.0775,286.113,9.9872,11.876,2.08,3.7792,5.5452
1470,13.208,68.8745,85.7235,288.7693,9.862,11.7307,2.1199,3.7675,5.4804
1470.125,13.234,70.5862,92.6835,295.9825,8.4065,10.0017,2.2103,3.6387,5.0571
1470.25,13.26,75.6272,100.3291,302.4575,6.7141,7.9629,2.2937,3.3927,4.4725
1470.375,13.286,81.9702,106.0509,306.6815,5.3252,6.2285,2.3524,3.0717,4.0021
1470.5,13.313,86.8517,107.4046,308.2746,4.6425,5.2544,2.3712,2.9135,3.7564
1470.625,13.339,87.8348,103.1728,304.2555,4.9674,5.415,2.3622,3.0805,4.0108
1470.75,13.365,87.6899,98.3746,297.2981,5.6115,5.9909,2.3547,3.3901,4.3968
1470.875,13.391,87.0869,95.0922,290.6687,6.2714,6.6719,2.3524,3.5998,4.7422
1471,13.417,86.4559,95.0336,287.9651,6.6487,7.1359,2.3524,3.6714,4.8679
1471.125,13.443,86.067,97.7451,289.2463,6.6064,7.1795,2.3423,3.6414,4.7705
1471.25,13.469,85.8187,100.1122,290.9598,6.4602,7.076,2.3254,3.5867,4.6456
1471.375,13.495,85.6311,101.2398,292.5697,6.3364,6.9521,2.3066,3.521,4.5945
1471.5,13.521,85.1814,100.6183,293.4816,6.2805,6.8718,2.289,3.5114,4.5601
1471.625,13.547,84.766,97.8681,292.9396,6.255,6.8653,2.2807,3.5399,4.6472
1471.75,13.573,83.977,94.2664,292.1611,6.3756,7.0644,2.2761,3.6052,4.7783
1471.875,13.599,83.001,89.958,289.9594,6.8895,7.7179,2.2765,3.6925,4.995
1472,13.625,82.2023,85.0579,283.8061,8.2086,9.257,2.2913,3.7947,5.2695
1472.125,13.651,79.5573,80.3738,272.31,10.538,11.8465,2.3214,4.1191,5.9453
1472.25,13.677,75.864,78.108,260.362,12.5299,14.0594,2.3488,4.5065,6.7547
1472.375,13.703,74.134,80.8751,254.052,13.0724,14.7347,2.3606,4.8826,7.2292
1472.5,13.729,76.6275,90.5829,261.3607,11.4515,13.1167,2.343,4.6079,6.5598
1472.625,13.755,82.1946,106.9381,286.04,8.1399,9.5742,2.3171,3.7751,5.0112
1472.75,13.781,87.0418,121.4421,307.173,5.4725,6.5981,2.3148,2.9607,3.8026
1472.875,13.807,90.7179,130.5774,319.0108,3.985,4.8218,2.3371,2.3588,3.0237
1473,13.833,92.6322,131.986,318.0242,3.7785,4.4783,2.3688,2.3646,3.0011
1473.125,13.859,92.0993,129.3291,306.7056,4.2018,4.9764,2.3665,2.7101,3.4478
1473.25,13.885,91.6023,128.3294,300.9843,4.4963,5.3973,2.3371,2.8656,3.6625
1473.375,13.911,91.6428,130.098,307.6941,4.4249,5.413,2.2991,2.7022,3.46
1473.5,13.938,92.171,133.781,325.2582,3.9467,4.9031,2.2678,2.1758,2.7863
1473.625,13.964,93.0709,137.3644,346.9815,3.2861,4.0538,2.2425,1.7757,2.2329
1473.75,13.99,93.7867,139.7065,364.2707,2.7754,3.3381,2.2256,1.6298,2.0612
1473.875,14.005,94.1684,140.433,373.0198,2.4495,2.8389,2.2209,1.5859,1.9963
1474,14.013,94.3648,139.0925,372.9185,2.2879,2.5628,2.2397,1.5799,1.9835
1474.125,14.022,94.6094,135.9622,373.8056,2.2187,2.4253,2.289,1.5691,1.9692
1474.25,14.03,94.9148,133.3317,373.3993,2.1967,2.3497,2.3477,1.5639,1.9607
1474.375,14.038,95.2036,131.8305,368.1251,2.253,2.3701,2.4029,1.5712,1.9721
1474.5,14.047,95.1407,131.3043,357.9034,2.4209,2.5287,2.4463,1.6128,2.0041
1474.625,14.055,94.8633,130.116,344.7604,2.6972,2.8126,2.4667,1.7039,2.0784
1474.75,14.064,94.9303,127.2862,333.0954,2.9414,3.0597,2.4545,1.8509,2.2568
1474.875,14.072,95.6284,123.4431,326.5353,3.0777,3.1934,2.4176,1.9774,2.4136
1475,14.08,97.5246,119.5461,327.3684,3.0519,3.1673,2.3735,1.9655,2.3909
1475.125,14.089,99.9873,117.0493,335.0601,2.8697,2.9844,2.3601,1.8432,2.2245
1475.25,14.097,101.4696,115.8161,341.6629,2.7166,2.8351,2.3712,1.7603,2.1104
1475.375,14.105,102.1854,115.6606,343.4626,2.674,2.8092,2.4017,1.7352,2.0726
1475.5,14.114,102.4356,115.9366,338.1374,2.7958,2.974,2.4369,1.7914,2.1372
1475.625,14.122,102.0732,114.7671,330.3653,3.0105,3.2589,2.4663,1.9084,2.2832
1475.75,14.13,101.7376,112.4442,324.1518,3.158,3.4695,2.4756,2.0193,2.4302
1475.875,14.139,101.5257,110.3942,320.4376,3.1844,3.529,2.4623,2.1207,2.5415
1476,14.147,101.2889,110.2406,322.6817,3.0739,3.4096,2.4299,2.0572,2.4515
1476.125,14.156,101.3029,112.9692,333.6433,2.898,3.2022,2.404,1.8539,2.1906
1476.25,14.164,101.4447,115.7777,338.8274,2.8013,3.0836,2.3993,1.776,2.0963
1476.375,14.172,101.521,117.6203,337.3558,2.8108,3.0843,2.4087,1.7836,2.1127
1476.5,14.181,100.9274,117.727,334.6378,2.9057,3.1741,2.4158,1.8181,2.1601
1476.625,14.189,100.2986,117.1015,335.828,2.9334,3.1747,2.3899,1.8017,2.1329
1476.75,14.197,99.6389,117.3747,339.6862,2.8386,3.0373,2.3524,1.7432,2.068
1476.875,14.206,98.986,118.7565,347.2838,2.6375,2.7804,2.3183,1.6614,1.9915
1477,14.214,98.8458,120.625,358.1672,2.3978,2.4743,2.3054,1.5922,1.9337
1477.125,14.222,98.7056,121.0745,365.6483,2.2752,2.2905,2.3277,1.5528,1.9116
1477.25,14.231,97.9484,120.1934,365.9867,2.2698,2.2388,2.3582,1.5521,1.9094
1477.375,14.239,97.0088,118.4705,361.4571,2.3286,2.2728,2.3834,1.5786,1.9231
1477.5,14.247,96.4682,116.2189,356.8195,2.3814,2.3246,2.397,1.605,1.9435
1477.625,14.256,96.4984,112.9419,356.6931,2.4009,2.361,2.4076,1.6138,1.9481
1477.75,14.264,96.3451,108.6562,354.1658,2.4968,2.4879,2.4275,1.6389,1.9696
1477.875,14.273,96.1637,103.6113,345.1802,2.7337,2.7711,2.4526,1.712,2.0296
1478,14.281,95.9041,98.9427,331.5499,3.0992,3.1931,2.4721,1.9062,2.2359
1478.125,14.289,95.481,97.4866,323.1835,3.4062,3.5571,2.4632,2.0531,2.4289
1478.25,14.298,95.0628,99.2049,320.4238,3.4839,3.6805,2.4404,2.1107,2.5197
1478.375,14.306,94.8524,103.1458,324.0254,3.3193,3.5355,2.4176,1.9988,2.3512
1478.5,14.314,94.3429,108.169,336.0242,2.953,3.1455,2.4064,1.7989,2.1069
1478.625,14.323,93.5359,111.578,346.8297,2.6394,2.7659,2.4188,1.6769,1.9992
1478.75,14.331,93.0061,112.1332,349.5612,2.5331,2.6111,2.4369,1.6603,1.9894
1478.875,14.339,92.4602,109.8177,346.2642,2.6452,2.7197,2.4585,1.691,2.002
1479,14.348,91.7721,106.1422,339.749,2.9101,3.0366,2.4745,1.7663,2.0686
1479.125,14.356,91.2804,104.9943,331.9874,3.1451,3.3661,2.4726,1.8694,2.1816
1479.25,14.365,90.7297,106.5135,328.2303,3.2542,3.5607,2.4604,1.9157,2.24
1479.375,14.373,90.1626,109.0596,328.7264,3.243,3.6084,2.4428,1.9007,2.2246
1479.5,14.381,89.8557,110.8466,330.8809,3.1541,3.5389,2.4275,1.8632,2.1771
1479.625,14.39,89.406,110.2584,334.1891,3.0755,3.4512,2.4282,1.828,2.1342
1479.75,14.398,88.9192,109.3471,338.1246,3.0414,3.4082,2.4299,1.7896,2.0826
1479.875,14.406,88.4699,109.4533,340.2797,3.0362,3.3981,2.4282,1.7722,2.063
1480,14.415,88.1792,111.8382,339.9773,3.0211,3.3742,2.4134,1.7697,2.0612
1480.125,14.423,87.6821,116.0156,342.9093,2.8982,3.2143,2.3841,1.7305,2.024
1480.25,14.431,87.0776,119.596,349.1382,2.6991,2.9617,2.3594,1.6752,1.9817
1480.375,14.44,86.6812,121.072,356.865,2.4899,2.7,2.3488,1.6274,1.9372
1480.5,14.448,86.4185,119.4463,363.2494,2.3649,2.5478,2.3618,1.5948,1.9103
1480.625,14.457,86.191,115.2815,360.8777,2.5555,2.7786,2.4111,1.6243,1.9301
1480.75,14.465,85.9823,111.9363,350.9411,2.9711,3.2803,2.4686,1.6952,2.0017
1480.875,14.473,85.5351,110.249,336.1336,3.4929,3.9218,2.5137,1.8372,2.1578
1481,14.482,84.795,110.5861,321.9163,3.9335,4.4933,2.5285,2.0784,2.4348
1481.125,14.49,84.4279,113.4952,318.514,3.9791,4.6147,2.5038,2.1584,2.5488
1481.25,14.498,84.1157,117.8814,322.3665,3.7516,4.4007,2.4745,2.0455,2.3775
1481.375,14.507,83.5719,121.8113,330.6773,3.3699,3.9723,2.4505,1.8752,2.196
1481.5,14.515,83.1029,122.9089,339.466,3.0025,3.524,2.4346,1.7676,2.0545
1481.625,14.523,82.6885,120.3773,342.4477,2.8716,3.3422,2.4275,1.7368,2.0356
1481.75,14.532,82.0917,117.3994,340.7204,2.9557,3.4314,2.431,1.7645,2.0617
1481.875,14.54,81.5651,114.0796,335.3792,3.2294,3.7636,2.4486,1.8319,2.1525
1482,14.548,80.8375,109.591,326.873,3.6664,4.3096,2.4815,1.9912,2.3281
1482.125,14.557,79.7054,104.9635,318.3207,4.121,4.8845,2.5045,2.2311,2.6077
1482.25,14.565,78.519,103.6907,313.188,4.4128,5.2673,2.5062,2.4094,2.7927
1482.375,14.574,77.4751,106.8224,311.6859,4.4623,5.3583,2.4921,2.4296,2.8501
