"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1217.125,0,67.394,102.2377,290.5947,3.2093,3.5313,3.3352,3.6426
1217.25,0.008,67.5087,95.1203,287.5427,3.4727,3.8714,3.4887,4.1061
1217.375,0.017,66.637,88.534,302.1328,4.5009,4.968,3.1193,4.1116
1217.5,0.025,66.0268,86.151,292.3309,5.866,6.4839,3.268,4.9112
1217.625,0.034,65.8339,88.2898,255.9445,6.7059,7.5049,6.0004,7.4642
1217.75,0.042,65.3709,92.6027,260.8891,6.4369,7.2279,4.9391,5.7463
1217.875,0.05,64.9166,99.8226,290.6554,6.0403,6.7712,3.1642,3.8022
1218,0.059,64.944,110.3358,307.2831,5.0246,5.7046,2.7359,3.0969
1218.125,0.067,64.944,113.5333,321.6363,3.9438,4.5628,2.3392,2.7426
1218.25,0.076,64.8384,113.218,342.6056,3.2341,3.7287,1.9994,2.5747
1218.375,0.084,64.8476,109.3372,333.4125,3.2756,3.6802,2.2976,3.2576
1218.5,0.092,64.5813,105.2792,316.5101,3.5701,3.9314,2.8581,3.905
1218.625,0.101,64.6318,101.409,302.0609,3.9359,4.2036,4.3779,5.0952
1218.75,0.109,65.5221,100.3326,327.6759,4.1341,4.3374,2.7841,3.3337
1218.875,0.118,66.1597,101.6215,338.2288,4.0694,4.2792,2.2347,2.6596
1219,0.126,67.027,109.585,340.5468,3.586,3.8631,1.7885,2.1793
1219.125,0.134,67.5544,114.0962,341.3839,3.0636,3.3397,1.8896,2.224
1219.25,0.143,67.7749,115.8136,344.9772,2.7895,3.0161,1.8038,2.134
1219.375,0.151,67.4488,116.1393,345.2082,2.7664,2.9403,1.8197,2.169
1219.5,0.16,67.394,115.4065,344.4486,2.7664,2.934,1.8603,2.2313
1219.625,0.168,67.6416,114.3441,350.2416,2.7587,2.9209,2.0411,2.3935
1219.75,0.176,67.6416,112.2868,345.1941,2.9212,3.1081,1.782,2.0947
1219.875,0.185,67.348,110.474,331.799,3.1174,3.3031,1.8851,2.286
1220,0.193,66.7287,114.8292,330.4223,3.2244,3.4078,2.3131,2.5574
1220.125,0.202,66.4029,119.5705,335.3161,3.1814,3.4224,2.013,2.319
1220.25,0.21,66.3248,122.8176,341.9629,3.1921,3.4418,1.7745,2.0509
1220.375,0.218,66.7378,123.0019,342.2236,2.9613,3.2581,1.7267,2.0147
1220.5,0.227,66.6005,119.6768,345.6252,2.8366,3.1498,1.7345,2.1169
1220.625,0.235,66.4486,115.6827,339.1335,3.1191,3.4327,2.0907,2.6863
1220.75,0.244,66.8112,113.2712,305.826,3.4905,3.8598,3.6898,4.5194
1220.875,0.252,67.0774,109.585,290.926,3.5998,3.9648,6.2865,6.3611
1221,0.261,67.0223,107.1099,324.993,3.5934,3.8983,2.9201,3.2019
1221.125,0.269,66.9259,108.0164,341.1034,3.5748,3.8758,2.1862,2.456
