"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1243.125,0,67.6693,101.356,256.952,5.7319,5.798,6.5103,5.4737
1243.25,0.008,67.9835,109.9761,290.1582,4.8193,5.0577,4.543,4.5488
1243.375,0.017,68.4571,114.5246,319.2081,3.481,3.9008,2.1076,2.1767
1243.5,0.025,68.7031,113.0543,334.0641,2.9914,3.4195,1.6484,1.5318
1243.625,0.034,68.8673,110.6832,327.8458,3.0411,3.3621,1.6944,1.3347
1243.75,0.042,68.8547,108.1204,321.5707,3.504,3.6983,1.6559,1.3297
1243.875,0.05,68.7394,106.204,306.2426,3.9081,3.9968,1.6887,1.3749
1244,0.059,68.5171,108.0607,278.6911,4.0342,4.0716,2.2572,1.7454
1244.125,0.067,68.335,113.7214,310.5585,3.8292,3.91,3.112,2.8032
1244.25,0.076,68.2498,117.5433,341.8803,3.6074,3.7628,2.6948,2.574
1244.375,0.084,68.2462,120.8869,345.6495,2.9972,3.2725,2.3288,1.8245
1244.5,0.092,68.3267,123.5845,337.3597,2.7178,3.0077,1.9806,1.534
1244.625,0.101,68.4436,122.4473,337.5761,2.7229,2.9804,1.5352,1.0169
1244.75,0.109,68.4998,120.9611,340.6963,2.7496,3.0143,1.5104,0.9006
1244.875,0.118,68.506,120.9972,336.5735,2.6999,2.9896,1.4501,0.8443
1245,0.126,68.4436,119.2098,331.0047,2.821,3.1172,1.3804,0.8447
1245.125,0.134,68.3692,116.7608,337.3489,2.9592,3.2485,1.4697,0.9879
1245.25,0.143,68.264,113.6094,334.3838,3.092,3.39,1.5864,0.9274
1245.375,0.151,68.2428,115.9614,329.8273,3.0635,3.3799,1.7594,1.0912
1245.5,0.16,68.2781,116.4646,320.5329,3.0763,3.4094,1.7609,1.1985
1245.625,0.168,68.3602,114.1758,326.854,2.9236,3.28,1.9266,1.1455
1245.75,0.176,68.4021,116.2193,337.8178,2.6803,3.0919,1.8658,1.1355
1245.875,0.185,68.3971,119.192,338.1836,2.591,3.033,1.6336,1.0409
1246,0.193,68.3642,117.3549,344.5333,3.1714,3.5781,1.6272,1.1507
1246.125,0.202,68.3473,114.5192,333.141,3.598,3.9605,1.8403,1.381
1246.25,0.21,68.3464,113.0938,296.2724,3.7786,4.0566,1.9097,1.5849
1246.375,0.218,68.3824,115.2697,271.8593,3.7339,4.0336,5.7161,2.8926
1246.5,0.227,68.4805,118.1218,322.8031,3.5804,3.9325,7.4498,6.7473
1246.625,0.235,68.6561,114.4059,346.6914,3.1042,3.5435,2.0637,2.3048
1246.75,0.244,68.7794,112.2509,355.3315,2.7305,3.1283,1.6426,1.1586
1246.875,0.252,68.8138,110.5405,340.961,2.7945,3.1347,1.7096,1.0745
1247,0.261,68.7262,111.2483,322.0104,2.9233,3.1947,2.0992,1.0964
1247.125,0.269,68.5878,112.1998,325.1975,2.9529,3.2371,2.3557,1.3435
1247.25,0.277,68.3003,113.9045,341.1537,2.6904,3.0077,1.5081,0.9653
1247.375,0.286,67.9928,114.2593,337.9823,2.5913,2.9623,1.5203,0.8693
1247.5,0.294,67.7228,109.7132,335.2525,2.5214,2.9824,1.4173,0.8554
1247.625,0.303,67.3252,99.783,337.2867,2.9719,3.5319,1.3097,0.8125
1247.75,0.311,67.065,95.2789,328.9791,3.833,4.3676,1.3104,0.9037
1247.875,0.319,66.7781,89.8795,290.8665,5.5213,5.9642,1.5804,0.8999
1248,0.328,66.6232,91.2349,246.5798,7.2192,7.4558,5.09,2.3129
1248.125,0.336,66.534,100.8912,250.1482,7.6343,7.6852,9.4649,7.4412
1248.25,0.345,66.5303,104.8134,262.6169,6.4843,6.6176,6.6911,6.8152
1248.375,0.353,66.6139,108.8958,272.3768,4.4458,4.8282,3.9301,3.6822
1248.5,0.361,66.8034,108.818,329.0969,3.5313,3.8991,3.0194,2.6844
1248.625,0.37,67.058,105.0468,342.1601,3.2832,3.5069,1.812,1.6859
1248.75,0.378,67.1785,103.7208,309.4248,3.1936,3.2729,1.3665,0.972
1248.875,0.387,67.1748,104.1559,297.321,3.2485,3.2322,1.7948,0.9475
1249,0.395,67.0232,104.714,318.4946,2.9666,3.1103,3.0837,2.2356
1249.125,0.403,66.8747,106.1836,339.013,2.8329,3.0925,2.5614,2.5909
1249.25,0.412,66.6047,104.0459,344.8767,3.3213,3.5871,1.6026,1.2575
1249.375,0.42,66.2775,95.8101,316.4947,3.9375,4.2004,1.4817,1.0569
1249.5,0.429,65.9448,92.5765,264.3757,4.9496,5.1492,1.3612,0.9287
1249.625,0.437,65.5158,94.9565,259.9752,8.0363,7.9379,2.9896,2.2724
1249.75,0.445,65.2034,97.0848,272.152,12.1612,11.4573,5.6326,5.6706
1249.875,0.454,65.2099,99.8375,254.6525,8.4618,8.3116,5.1877,6.5719
1250,0.462,65.5411,107.6544,274.6023,5.62,5.7621,2.7997,3.3155
1250.125,0.471,66.01,113.0177,313.6086,4.4711,4.6637,1.5281,1.5307
1250.25,0.479,66.6554,116.0322,343.4858,3.2386,3.5158,1.4871,1.2924
1250.375,0.487,67.2763,122.3502,350.8296,2.5995,2.8864,1.394,1.0064
1250.5,0.496,67.8027,130.3687,355.2494,2.5675,2.7087,1.3538,0.9044
1250.625,0.504,67.9734,124.5391,348.6994,2.7337,2.7457,1.2806,0.7102
1250.75,0.513,67.9316,115.0898,311.0414,2.7743,2.7625,2.0126,0.856
1250.875,0.521,67.8049,113.1385,310.6503,2.7419,2.742,1.9474,1.0198
1251,0.529,67.5497,116.4549,356.8549,2.7784,2.7918,1.2279,0.9529
1251.125,0.538,67.3808,121.6135,356.3716,2.7228,2.7825,1.1582,0.6774
1251.25,0.546,67.1788,126.8779,346.4143,2.577,2.6792,1.2281,0.6917
1251.375,0.555,67.0786,129.8949,350.9454,2.735,2.8234,1.1542,0.5758
1251.5,0.563,67.0518,126.8434,353.6694,2.8215,2.9258,1.2925,0.7653
1251.625,0.571,67.0878,125.4973,349.7929,2.9134,3.0403,1.4625,1.3178
1251.75,0.58,67.2194,127.3799,343.4202,3.1237,3.2268,1.4612,1.1095
1251.875,0.588,67.4799,123.2629,342.1519,3.3632,3.3904,1.4113,0.9376
1252,0.597,67.7182,120.4955,341.8679,3.2336,3.3014,1.5864,1.4011
1252.125,0.605,67.9405,120.2143,345.0609,3.1296,3.2116,1.4672,1.133
1252.25,0.613,68.0989,120.5341,355.5333,3.0321,3.1087,1.3554,1.1612
1252.375,0.622,68.308,116.7217,350.619,2.9243,2.9937,1.2592,0.8207
1252.5,0.63,68.6035,103.5245,347.2199,2.5867,2.7328,1.327,0.7956
1252.625,0.639,68.8412,96.545,345.1334,2.7459,2.8455,1.1383,0.5696
1252.75,0.647,68.9989,97.0216,351.1653,2.7841,2.8592,1.3206,0.5626
1252.875,0.655,69.0703,97.2061,330.4553,2.7876,2.8397,1.575,0.7752
1253,0.664,69.1072,102.5581,315.9197,2.7617,2.7966,1.6921,0.8867
1253.125,0.672,69.1026,109.4872,336.3357,2.9058,2.8951,1.4525,0.7401
1253.25,0.681,69.0816,114.7989,359.843,2.8093,2.8479,1.1691,0.6012
1253.375,0.689,69.0881,116.09,355.8996,2.4697,2.5506,1.4083,0.9197
1253.5,0.697,69.1518,113.9468,349.9249,2.4179,2.489,1.2106,0.7067
1253.625,0.706,69.3064,112.112,367.3065,2.4036,2.4766,1.1224,0.4994
1253.75,0.714,69.5048,111.6889,374.1468,2.2714,2.4007,1.1718,0.5013
1253.875,0.723,69.6542,112.9827,355.9537,2.2042,2.3591,1.2437,0.5702
1254,0.731,69.6428,111.3951,355.0779,2.348,2.4742,1.1422,0.5788
1254.125,0.739,69.5537,111.0033,350.7067,2.4573,2.5731,1.253,0.6028
1254.25,0.748,69.3953,112.1479,333.8241,2.5493,2.7247,1.3034,0.7536
1254.375,0.756,69.2511,108.8905,334.5294,2.9076,3.0611,1.2952,0.7536
1254.5,0.765,69.1084,104.8045,333.4966,3.5907,3.6473,1.53,0.894
1254.625,0.773,68.9888,101.3572,317.7036,3.6052,3.6338,1.7902,1.0537
1254.75,0.782,68.8621,103.0027,290.285,3.5085,3.5385,4.2615,2.3081
1254.875,0.79,68.7631,106.4353,312.9239,3.3569,3.4119,5.9841,4.0803
1255,0.798,68.673,108.4669,352.786,2.9204,3.073,1.796,1.6547
1255.125,0.807,68.6834,111.5695,359.7303,2.4107,2.623,1.1833,0.6238
1255.25,0.815,68.7342,113.5605,358.5165,2.2571,2.4795,1.2292,0.6023
1255.375,0.824,68.8067,112.5483,363.2877,2.2292,2.4752,1.2144,0.592
1255.5,0.832,68.8092,112.6034,373.9855,2.3838,2.6295,1.2076,0.6291
1255.625,0.84,68.7502,111.9117,361.6114,2.8302,3.0089,1.2384,0.6999
1255.75,0.849,68.6542,105.8116,321.0569,3.1372,3.2431,1.3494,0.7346
1255.875,0.857,68.577,103.0891,282.1943,3.294,3.4181,2.8592,1.9013
1256,0.866,68.5835,110.4826,309.6107,3.2893,3.4724,3.1383,3.273
1256.125,0.874,68.6539,117.7364,349.2951,2.9279,3.219,1.6428,1.8429
1256.25,0.882,68.7369,120.2066,341.5188,2.4948,2.8383,1.363,0.8947
1256.375,0.891,68.8012,117.1646,335.6063,2.4476,2.772,1.249,0.677
1256.5,0.899,68.7668,113.5504,350.0549,2.6927,2.9638,1.2315,0.622
1256.625,0.908,68.6373,113.7592,337.4494,2.7508,3.0068,1.223,0.6691
1256.75,0.916,68.4743,113.9351,317.0117,2.7977,3.0232,1.2084,0.6906
1256.875,0.924,68.3473,117.1205,329.8752,2.8527,3.0597,1.3813,0.733
1257,0.933,68.26,126.6976,351.4681,2.7944,3.0256,1.4252,0.7754
1257.125,0.941,67.9962,134.277,364.3823,2.8554,3.107,1.2761,0.8304
1257.25,0.95,67.6524,127.576,358.9892,3.047,3.2519,1.2669,0.7618
1257.375,0.958,66.9814,112.0423,328.9128,3.2765,3.4633,1.4925,0.861
1257.5,0.966,66.5186,108.2572,314.514,3.2778,3.4683,1.7063,1.1152
