"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1188.125,0.646,70.259,92.5244,334.7516,2.7934,2.7984,2.3521,1.773,2.1777
1188.25,0.654,70.2317,91.0339,318.5481,2.8061,2.7914,2.3467,1.8717,2.2239
1188.375,0.663,70.1676,91.479,329.3455,2.8961,2.8586,2.3704,1.7327,2.0494
1188.5,0.671,70.086,95.6923,349.7718,2.8127,2.8116,2.3943,1.5044,1.7889
1188.625,0.68,70.0629,99.4607,346.4175,2.5878,2.6,2.3737,1.6849,2.0247
1188.75,0.688,70.1263,100.1576,332.116,2.5051,2.5026,2.3074,1.8849,2.2908
1188.875,0.696,70.252,100.2867,345.2161,2.4834,2.4724,2.2282,1.6719,1.9785
1189,0.705,70.37,104.7709,363.576,2.3615,2.4798,2.1988,1.5661,1.8594
1189.125,0.713,70.4068,110.4105,356.2161,2.3783,2.5761,2.2661,1.5714,1.8663
1189.25,0.721,70.392,117.7856,356.1368,2.5286,2.6578,2.3331,1.7222,2.0371
1189.375,0.73,70.306,119.9345,351.2674,2.6297,2.7596,2.3545,1.839,2.1675
1189.5,0.738,70.2323,116.6051,337.121,2.7567,2.9833,2.3904,1.7832,2.1422
1189.625,0.747,70.1756,110.6947,336.1844,3.0565,3.1999,2.437,1.7102,2.2212
1189.75,0.755,70.0787,99.0803,334.9325,3.465,3.538,2.4592,1.9512,2.4061
1189.875,0.763,69.9675,89.7371,321.2679,3.5053,3.6006,2.4194,2.2302,3.3918
1190,0.772,69.7903,86.4847,302.9088,3.4243,3.5379,2.3969,2.7059,3.8455
1190.125,0.78,69.6216,90.2464,308.8002,3.2245,3.3727,2.3976,2.5782,3.0132
1190.25,0.789,69.4028,96.1505,331.7003,2.8925,3.0617,2.3527,2.0856,2.501
1190.375,0.797,69.2169,100.2479,337.0079,2.5245,2.6715,2.292,1.8508,2.2155
1190.5,0.805,69.1241,103.4417,337.8485,2.4444,2.6048,2.268,1.8068,2.1401
1190.625,0.814,69.04,108.978,342.2216,2.4433,2.7096,2.2637,1.8341,2.1674
1190.75,0.822,69.0336,113.5334,362.0281,2.6324,2.9182,2.2859,1.7951,2.1256
1190.875,0.831,69.013,112.869,364.3966,2.8787,3.001,2.3085,1.8621,2.227
1191,0.839,69.0107,105.3843,341.7227,2.9953,3.0448,2.3369,2.0705,2.4897
1191.125,0.847,69.0327,99.3833,310.0724,3.0936,3.1667,2.3808,2.3983,2.8455
1191.25,0.856,69.1066,99.551,317.4915,3.0881,3.2153,2.4179,1.9089,2.4272
1191.375,0.864,69.1931,104.3128,346.7496,2.9124,3.1017,2.3909,1.5814,1.9516
1191.5,0.872,69.2226,109.5071,343.4178,2.6818,2.9453,2.3475,1.6932,2.0034
