"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1240.625,0,61.991,99.0538,294.3116,4.8811,5.3819,3.3611,3.4767
1240.75,0.008,62.3554,100.6557,263.3288,7.6414,8.551,5.8289,7.9411
1240.875,0.017,62.8249,101.6511,261.596,9.1258,10.2555,6.254,6.8183
1241,0.025,63.3618,105.7039,307.9622,7.3949,8.2683,3.312,2.5115
1241.125,0.033,63.5164,108.9724,323.1609,5.4995,6.0919,2.7266,1.9071
1241.25,0.042,63.5068,112.4143,335.0998,4.3436,4.7648,2.3234,1.6067
1241.375,0.05,63.4511,110.4406,336.2456,4.1844,4.5821,2.8009,2.0628
1241.5,0.058,63.4752,104.8276,322.4615,4.0921,4.476,3.1667,2.0938
1241.625,0.067,63.619,96.9837,313.3564,3.885,4.2383,2.957,2.623
1241.75,0.075,63.7869,98.8086,303.3666,3.7442,4.0765,3.877,3.2188
1241.875,0.083,63.9755,101.7346,310.3427,3.2364,3.4935,3.0996,2.4579
1242,0.092,64.0885,105.7329,335.536,3.0816,3.3159,2.077,1.8252
1242.125,0.1,64.1517,113.6565,341.7346,3.1809,3.4298,1.8531,1.6764
1242.25,0.109,64.2435,115.5549,334.1272,3.1242,3.3649,2.1804,1.7116
1242.375,0.117,64.5302,115.2715,328.8033,2.6792,2.8539,1.9605,1.6058
1242.5,0.125,64.8215,115.834,335.1178,2.4107,2.5456,1.9049,1.6293
1242.625,0.134,65.2079,117.5495,335.4392,2.4934,2.6406,1.9044,1.7957
1242.75,0.142,65.463,113.9336,334.2387,2.7827,2.9727,2.0654,1.9153
1242.875,0.15,65.6629,109.4347,338.6809,2.9399,3.1527,1.7764,1.6878
1243,0.159,65.928,106.2942,336.1275,2.989,3.2094,2.0379,1.8372
1243.125,0.167,66.1179,104.6091,329.3019,2.8869,3.0922,2.1015,1.7329
1243.25,0.175,66.3306,106.7269,324.9601,2.6916,2.8681,2.3801,1.9436
1243.375,0.184,66.4603,110.5445,325.6214,2.5976,2.7602,2.2932,1.778
1243.5,0.192,66.4644,112.14,332.8976,2.5861,2.7467,2.2471,1.6298
1243.625,0.2,66.4902,110.2935,336.079,2.5477,2.7029,2.0017,1.4732
1243.75,0.209,66.6173,108.2741,341.3862,2.7117,2.8913,1.6008,1.561
1243.875,0.217,66.7615,105.7912,335.3189,3.161,3.4069,1.9298,1.8217
1244,0.225,67.0923,105.2102,315.2224,3.5924,3.9023,1.8488,1.8763
1244.125,0.234,67.5227,106.0666,281.656,4.0492,4.4266,5.8573,7.0571
1244.25,0.242,67.8456,107.6015,283.0497,5.0259,5.5482,6.6548,6.6007
1244.375,0.25,68.0596,109.7976,332.5909,6.014,6.6824,2.5502,1.79
1244.5,0.259,67.9748,109.8088,337.1535,4.5184,4.9651,2.0665,1.5078
1244.625,0.267,67.765,107.0078,333.4374,3.4213,3.7058,1.9719,1.6358
1244.75,0.275,67.8867,104.0721,321.275,3.4306,3.7164,3.0199,2.0986
1244.875,0.284,68.2541,102.8251,328.1256,3.5291,3.8291,2.7123,1.7786
1245,0.292,68.9879,104.2118,336.1804,3.6789,4.0014,2.0096,1.5131
1245.125,0.301,69.5185,106.8094,330.361,3.7562,4.0902,2.2699,1.4904
1245.25,0.309,70.1816,111.6784,335.0517,3.4026,3.6845,2.0272,1.5206
1245.375,0.317,70.4791,111.2137,331.067,2.9142,3.1238,1.8051,1.4161
1245.5,0.326,70.4966,109.4152,334.2556,2.7427,2.9267,1.6779,1.3911
1245.625,0.334,70.2539,108.6112,331.3888,2.6274,2.7943,1.8664,1.5985
1245.75,0.342,69.9564,108.1096,323.9903,2.5769,2.7362,1.9211,1.856
1245.875,0.351,69.5289,104.4713,325.7568,2.8774,3.0813,2.1819,2.2293
1246,0.359,69.0664,101.6527,292.9558,5.2049,5.7538,6.1357,7.2918
1246.125,0.367,68.9521,100.67,262.9083,8.0475,9.0175,6.7158,7.4267
1246.25,0.376,69.1113,102.1847,278.4372,7.9892,8.9507,4.7345,5.3812
1246.375,0.384,69.4952,103.9337,294.0387,6.1825,6.8759,3.5833,3.1307
1246.5,0.392,69.8837,105.9132,317.464,4.4095,4.8405,1.9522,1.7224
1246.625,0.401,70.1546,103.997,338.5363,2.7557,2.9417,2.374,1.871
1246.75,0.409,70.2722,100.8982,333.2331,2.6809,2.8559,2.5742,1.8477
1246.875,0.417,70.3923,96.3525,307.7116,3.2341,3.4911,4.1915,2.9553
1247,0.426,70.5913,96.4391,310.2792,3.7235,4.0526,3.7568,2.2537
1247.125,0.434,70.6333,99.0249,332.1671,3.3622,3.6381,2.1793,1.4678
1247.25,0.442,70.5066,107.3787,335.3239,2.5362,2.6901,1.6506,1.2647
1247.375,0.451,70.3345,112.034,334.0479,2.2334,2.3422,1.8053,1.5187
1247.5,0.459,70.2178,116.3621,334.8892,2.2523,2.3636,2.2089,1.987
1247.625,0.467,69.9668,117.7025,327.6385,2.4267,2.5638,1.9753,1.7739
1247.75,0.476,69.5334,114.0619,331.0325,2.7198,2.9005,1.5059,1.3685
1247.875,0.484,68.9147,111.6434,340.8666,3.1118,3.3507,1.2633,1.1721
1248,0.492,68.3205,107.3961,349.6714,3.362,3.638,1.1813,1.1365
1248.125,0.501,67.9516,101.5254,353.1263,3.3715,3.6487,1.0378,0.9973
1248.25,0.509,67.6927,97.7668,331.4489,3.1824,3.4315,1.6964,1.5661
1248.375,0.518,67.5697,99.0667,311.8362,2.8351,3.0329,2.0562,1.6101
1248.5,0.526,67.4525,104.0302,341.3006,2.4919,2.6391,1.1557,1.0947
1248.625,0.534,67.1579,105.0148,347.9614,2.2239,2.3307,1.0851,0.892
1248.75,0.543,66.8392,104.017,346.9615,2.1741,2.2738,1.0814,0.8133
1248.875,0.551,66.619,105.4132,348.0329,2.2376,2.3468,1.0525,0.9754
1249,0.559,66.4902,107.8647,349.1341,2.5545,2.7106,1.5553,1.6813
1249.125,0.568,66.5583,108.1099,346.4446,2.7746,2.9638,1.3378,1.5391
1249.25,0.576,66.8895,110.1864,339.1445,2.9383,3.1512,1.3962,1.4499
1249.375,0.584,67.4151,110.2399,336.7414,3.0114,3.2352,1.704,1.8033
1249.5,0.593,67.9786,106.0559,334.6471,2.9704,3.1323,1.8904,1.9861
1249.625,0.601,68.7813,106.2624,338.4346,2.7433,2.7372,1.7793,1.7195
1249.75,0.609,69.6564,105.2481,340.3033,2.5781,2.5552,1.6809,1.5829
1249.875,0.618,70.652,100.2865,345.4133,2.6569,2.6507,1.5671,1.4452
1250,0.626,71.3301,95.8802,348.4734,2.8019,2.9538,1.5075,1.2691
1250.125,0.634,71.9102,91.8619,342.004,3.2344,3.6438,1.7725,1.1519
1250.25,0.643,72.3357,89.7889,343.517,3.5669,4.0739,1.5884,1.1403
1250.375,0.651,72.828,87.3584,331.9177,3.8331,4.3999,2.2258,2.0913
1250.5,0.659,73.3923,91.9677,316.0122,4.1813,4.8269,2.2029,1.8792
1250.625,0.668,73.78,99.326,340.4976,3.9199,4.5069,1.3642,1.1125
1250.75,0.676,74.0517,100.8383,354.4812,3.3657,3.8272,1.2837,1.1417
1250.875,0.684,74.2715,99.3366,348.0868,3.2365,3.6686,1.767,1.4754
1251,0.693,74.5433,99.8678,340.3738,3.6568,4.1843,1.5028,1.3075
1251.125,0.701,74.6401,101.3099,358.227,4.0354,4.6482,0.9858,0.8305
1251.25,0.71,74.6667,104.8928,369.9714,4.5012,5.2195,1.0062,0.8112
1251.375,0.718,74.6472,105.5207,354.8667,4.656,5.4095,1.1132,0.8701
1251.5,0.726,74.5927,106.0318,354.1321,4.5556,5.2861,1.036,0.9067
1251.625,0.735,74.3675,106.1758,343.8312,4.2736,4.9405,1.2657,1.0564
1251.75,0.743,73.8805,102.8545,326.1477,4.0271,4.6376,1.5742,1.3311
1251.875,0.751,73.0408,97.5728,334.3133,4.179,4.8,1.7533,1.4203
1252,0.76,72.2542,96.0871,331.4039,5.0522,5.7995,2.0301,1.7326
1252.125,0.768,71.6214,95.6767,319.1006,6.2853,7.2592,3.3276,2.7009
1252.25,0.776,71.0513,94.8272,297.8867,8.3679,9.7939,4.5409,3.1986
1252.375,0.785,70.6815,97.3316,295.3039,8.7758,10.3475,3.975,2.707
1252.5,0.793,70.3753,104.8762,334.3321,8.0666,9.5227,1.7135,1.4201
1252.625,0.801,70.1729,109.5278,348.1923,7.1007,8.357,1.6555,1.3327
1252.75,0.81,70.0512,107.6477,348.4465,5.828,6.8167,1.7117,1.4838
1252.875,0.818,69.9751,108.2876,348.5049,4.7727,5.5396,1.6003,1.5639
1253,0.826,69.8766,111.3587,352.8151,4.0479,4.6633,1.2843,1.3422
1253.125,0.835,69.801,111.8741,356.1291,4.1964,4.8455,1.1266,1.1987
1253.25,0.843,69.7104,109.9939,338.9051,4.6132,5.3566,1.4955,1.8883
1253.375,0.851,69.6747,106.6021,312.0245,5.4226,6.3489,3.6068,4.0897
1253.5,0.86,69.7266,106.539,305.3451,5.8707,6.8984,4.467,3.5086
1253.625,0.868,69.9485,106.7153,337.1138,5.6459,6.6227,1.6925,1.5143
1253.75,0.876,70.4368,109.5274,358.4791,4.7308,5.5008,1.2008,1.2623
1253.875,0.885,71.3613,108.8378,330.1994,3.7364,4.2814,1.8295,1.6009
1254,0.893,72.1399,108.5145,335.7211,3.1759,3.5926,1.8104,1.7243
1254.125,0.902,72.6303,109.4364,339.8322,2.8567,3.1543,1.7629,1.916
1254.25,0.91,72.7071,111.7304,337.2676,2.8699,3.138,1.6993,1.9775
1254.375,0.918,72.4665,113.6964,331.1398,2.9574,3.1951,1.9338,2.3399
1254.5,0.927,72.115,118.8571,328.7687,2.9376,3.0911,1.8499,1.9203
1254.625,0.935,72.0319,121.2789,340.1808,2.8757,2.9521,1.5634,1.7306
1254.75,0.943,72.1674,119.5302,356.3529,2.7424,2.841,1.4524,1.7815
1254.875,0.952,72.3361,114.6471,356.3353,2.7539,2.8569,1.5055,1.9707
1255,0.96,72.469,106.1922,335.1561,3.1456,3.2151,2.3034,2.8036
1255.125,0.968,72.3215,104.2885,313.143,3.6935,3.7162,2.5067,3.0729
1255.25,0.977,71.9526,104.7952,317.9695,4.1279,4.1136,1.9386,2.5039
1255.375,0.985,70.9163,104.2851,324.9633,4.9773,4.9916,1.7014,2.2665
1255.5,0.993,69.8492,104.3239,334.0147,5.8489,6.122,1.8191,2.2815
1255.625,1.005,68.0833,105.4164,336.0962,8.3882,8.9412,2.2528,2.7047
1255.75,1.029,66.2596,103.7108,328.1725,11.4407,12.2256,1.6454,2.3948
1255.875,1.053,65.0496,98.459,255.4751,13.43,14.3665,4.5343,9.4603
1256,1.077,65.1153,99.0365,242.6264,13.6563,14.6094,5.835,9.4014
1256.125,1.101,65.5125,105.3347,289.6364,12.8429,13.7346,3.3334,4.6628
1256.25,1.125,65.5549,114.435,319.7299,10.8688,11.6104,1.7957,2.9997
1256.375,1.149,64.5709,117.0305,312.2694,8.2047,8.7439,1.9549,3.32
1256.5,1.173,62.0168,112.7434,298.9711,5.2447,5.5385,2.2659,3.992
1256.625,1.197,58.9997,107.211,285.6928,4.3474,4.4845,3.4693,4.872
1256.75,1.221,55.8709,101.2732,284.5028,4.695,4.5764,3.4168,4.6893
1256.875,1.245,53.4239,95.9385,290.4367,5.5623,5.2622,3.048,4.8293
1257,1.269,50.7239,90.1043,282.1472,6.1949,5.8118,3.7184,6.2636
1257.125,1.293,48.0696,82.1474,270.0757,6.0371,5.6742,4.6843,7.184
1257.25,1.317,46.4935,79.641,271.853,5.8584,5.5177,4.0416,6.3283
1257.375,1.341,44.2074,79.2725,280.3127,6.4455,6.0314,3.841,7.0096
1257.5,1.365,42.5528,78.9176,277.8501,7.5487,6.9965,4.4947,7.3005
1257.625,1.389,40.683,81.119,293.1477,8.3389,7.6873,4.1553,6.216
1257.75,1.413,40.1785,86.6115,290.2099,9.3084,8.5358,3.4744,6.0677
1257.875,1.438,41.2148,87.9986,285.7192,9.8568,9.0155,3.5555,6.322
