"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1171.25,0.546,69.2768,116.9888,346.0703,3.0544,3.1782,2.3685,1.763,2.0911
1171.375,0.555,69.6504,115.6629,344.3502,2.975,3.1515,2.3595,1.964,2.3191
1171.5,0.563,70.3584,117.1586,343.3478,2.8577,3.0783,2.3719,1.8956,2.2405
1171.625,0.571,70.3971,117.4588,347.1225,2.7648,2.965,2.4038,1.5559,1.8515
1171.75,0.58,70.2651,117.0057,346.2706,2.681,2.8734,2.4107,1.5041,1.793
1171.875,0.588,70.8849,113.7537,344.067,2.4724,2.7462,2.4079,1.4878,1.7787
1172,0.597,71.5044,107.9862,346.4243,2.4888,2.7898,2.4259,1.3414,1.6112
1172.125,0.605,71.1043,104.0714,356.2338,2.5581,2.7842,2.4462,1.4258,1.7072
1172.25,0.613,70.5871,100.451,329.7757,2.6338,2.7881,2.4629,1.635,1.9434
1172.375,0.622,69.9728,101.8332,339.4216,2.6223,2.769,2.4661,1.4593,1.7425
1172.5,0.63,69.6917,104.5186,345.6447,2.6452,2.7776,2.4439,1.3714,1.644
1172.625,0.639,69.553,107.646,348.8537,2.6523,2.7881,2.3877,1.3211,1.5862
1172.75,0.647,69.6456,108.3486,340.023,2.433,2.5856,2.3601,1.4852,1.7736
1172.875,0.655,69.4924,108.3544,343.6101,2.3278,2.495,2.3451,1.6153,1.9225
1173,0.664,69.9315,107.7877,364.2512,2.2383,2.4387,2.31,1.6544,1.9699
1173.125,0.672,69.8486,107.2099,364.2039,2.2034,2.4221,2.3003,1.7248,2.0486
1173.25,0.681,69.6014,107.6348,357.0147,2.1464,2.4559,2.3216,1.7348,2.0589
1173.375,0.689,69.7486,108.8699,357.4207,2.1874,2.563,2.3584,1.6235,1.9333
1173.5,0.697,69.8728,110.932,352.5305,2.3579,2.6446,2.3907,1.5678,1.8702
1173.625,0.706,69.485,111.6347,338.4735,2.4482,2.7179,2.4244,1.5165,1.8096
1173.75,0.714,69.3879,108.9945,337.8782,2.5534,2.8755,2.4484,1.5644,1.8642
1173.875,0.723,69.447,103.5049,346.3036,2.735,3.0303,2.4655,1.5718,1.8708
1174,0.731,69.3701,93.3918,332.6965,3.0999,3.3021,2.4981,1.5886,1.8909
1174.125,0.739,69.34,89.1879,322.7815,3.3557,3.5073,2.5231,2.1008,2.4748
1174.25,0.748,69.3113,89.8788,307.0085,3.3883,3.5407,2.5366,2.5779,3.0204
1174.375,0.756,69.5616,95.1873,325.9945,3.2421,3.4596,2.521,2.368,2.7828
1174.5,0.765,69.7077,99.6406,339.7091,2.9846,3.2392,2.4882,1.5818,1.8839
1174.625,0.773,69.926,105.0512,339.4108,2.6499,2.9166,2.4248,1.5123,1.8044
1174.75,0.782,69.917,109.1473,345.6723,2.3584,2.6427,2.391,1.5698,1.8709
1174.875,0.79,70.297,113.2833,349.6924,2.2801,2.5545,2.383,1.4368,1.7199
1175,0.798,70.1539,114.966,362.355,2.2347,2.5645,2.3777,1.3712,1.6444
1175.125,0.807,70.3216,113.0171,366.0306,2.2599,2.7134,2.3781,1.3615,1.6327
1175.25,0.815,70.8566,110.9435,352.734,2.4334,2.8494,2.3989,1.4544,1.7395
1175.375,0.824,71.1485,110.6828,338.1256,2.6621,2.9065,2.4329,1.7049,2.0273
1175.5,0.832,70.9429,112.7903,318.3949,2.763,2.9707,2.4601,1.7997,2.133
1175.625,0.84,71.2816,113.8555,340.0613,2.8672,3.094,2.4728,1.607,1.9109
1175.75,0.849,71.4802,112.1729,345.2986,2.8001,3.0626,2.4698,1.4527,1.7349
1175.875,0.857,70.9228,108.0089,337.6716,2.6706,2.9824,2.4775,1.5172,1.8093
1176,0.866,70.8975,102.6831,349.6305,2.5625,2.9193,2.4893,1.5571,1.8554
1176.125,0.874,70.7239,101.72,350.0831,2.6552,2.9614,2.4726,1.4594,1.7445
1176.25,0.882,69.9338,104.9266,338.7169,2.7532,3.0214,2.4473,1.4837,1.7724
1176.375,0.891,70.2353,109.9689,338.6139,2.7941,3.0482,2.4477,1.691,2.0098
1176.5,0.899,70.4131,114.4955,338.0584,2.7908,3.0395,2.4387,1.6966,2.0178
1176.625,0.908,69.8103,121.0902,344.1506,2.7211,2.9817,2.4096,1.6218,1.9316
1176.75,0.916,69.3779,129.2203,363.3933,2.6866,3.0059,2.383,1.4578,1.7439
1176.875,0.924,68.6978,135.0503,354.8574,2.7989,3.0779,2.3845,1.4888,1.7764
1177,0.933,68.2156,131.5775,339.2614,2.8808,3.0921,2.3993,1.6685,1.9806
1177.125,0.941,68.7781,122.2182,326.5503,2.9845,3.1642,2.4184,1.8901,2.2534
1177.25,0.95,69.1284,114.0259,332.6231,3.0145,3.1873,2.4332,1.7654,2.2133
1177.375,0.958,69.2526,106.5415,336.0623,3.1212,3.2324,2.4462,1.6163,1.94
1177.5,0.966,69.5463,103.363,336.9356,3.0127,3.1782,2.4284,1.579,1.881
1177.625,0.975,69.701,103.1307,312.3866,2.6262,3.0231,2.3957,2.4675,2.8963
1177.75,0.983,69.3887,101.3574,346.9648,2.7261,3.2813,2.4051,1.7425,2.0692
1177.875,0.992,69.1697,99.5841,349.3335,3.078,3.527,2.4047,1.6834,2.0014
1178,1,68.1215,100.3715,300.8786,3.5426,3.8382,2.419,2.8486,3.3309
1178.125,1.035,67.3901,103.5328,298.3898,3.8527,4.118,2.4494,3.3695,3.9232
1178.25,1.069,66.8041,113.1244,307.6361,4.6827,4.6993,2.4242,2.8843,3.3696
1178.375,1.104,66.6353,119.4529,308.8127,5.0158,5.1001,2.3869,2.9112,3.4025
1178.5,1.139,65.8905,119.6174,307.1569,4.7362,4.9381,2.3955,2.883,3.3694
1178.625,1.174,64.362,114.4223,295.9907,4.6033,4.8203,2.413,3.1449,3.669
1178.75,1.208,62.4389,110.1731,291.1293,4.5633,4.8761,2.4053,3.3791,3.9352
1178.875,1.243,59.658,107.5782,298.0423,4.6747,5.2506,2.3907,3.013,3.6815
1179,1.278,57.1895,101.8901,306.7932,5.227,5.8563,2.3757,2.8789,3.7593
1179.125,1.313,54.3562,93.4995,296.3327,6.2645,6.6796,2.347,3.6433,4.6582
1179.25,1.347,52.1326,88.2021,281.9177,7.0824,7.4287,2.3348,5.2,6.3451
1179.375,1.382,51.1782,85.035,271.757,7.3583,7.682,2.3513,6.4375,7.8096
1179.5,1.417,50.6558,84.8989,287.9072,8.0186,8.3781,2.3627,5.8895,6.8011
1179.625,1.451,50.3181,85.9413,292.3223,7.7546,8.3008,2.3305,4.5223,5.4547
1179.75,1.486,50.0095,85.8563,290.8395,7.3984,7.9248,2.3168,5.4743,6.4073
1179.875,1.521,49.9779,84.1964,294.4568,7.3634,7.832,2.3216,5.1807,5.9921
1180,1.556,50.7353,82.1455,282.5267,7.8049,8.0657,2.3254,6.4977,8.4753
1180.125,1.59,52.0735,83.0349,279.1426,8.5488,8.7366,2.3458,7.2019,8.7141
1180.25,1.625,53.8356,86.8874,270.1327,8.7072,8.9627,2.3764,5.6712,6.981
1180.375,1.66,56.2651,94.853,265.1267,7.0433,7.6543,2.3721,5.5682,6.8952
1180.5,1.694,57.8852,100.2297,285.6654,5.7177,6.2905,2.3798,3.3007,4.0155
1180.625,1.729,59.4933,104.6489,326.6874,5.4299,5.9022,2.4126,2.7451,3.2114
1180.75,1.764,60.3756,108.5298,296.11,4.8242,5.354,2.4173,3.0576,3.5693
1180.875,1.799,60.9122,112.3031,262.5965,3.8852,4.3162,2.4064,4.1641,4.8303
1181,1.833,61.683,118.5408,320.1943,3.6614,3.953,2.4248,2.3207,2.7269
1181.125,1.868,62.2374,123.9571,332.6488,3.6077,3.8854,2.4417,2.029,2.3954
1181.25,1.903,62.3694,125.5435,333.1806,3.1812,3.54,2.4404,1.8046,2.14
1181.375,1.938,61.9209,126.6257,338.005,2.7423,3.1478,2.4306,1.7886,2.1218
1181.5,1.972,59.6666,127.1752,347.9309,2.5313,3.1121,2.4188,1.6916,2.0095
1181.625,2.011,56.85,125.7022,353.1391,2.618,3.4337,2.4081,1.9795,2.3366
1181.75,2.068,53.4932,119.1305,354.0726,3.0536,3.9166,2.3993,1.8963,2.243
1181.875,2.125,49.4075,111.0401,327.594,3.4362,4.398,2.3959,2.791,3.3668
1182,2.182,43.6387,97.5165,293.4206,4.6715,5.5059,2.3813,4.8023,6.0114
1182.125,2.239,39.0805,86.0777,296.0343,6.3871,7.0261,2.346,4.83,5.8405
1182.25,2.295,36.1297,76.3726,293.3109,7.8948,8.6208,2.3106,6.2415,7.915
1182.375,2.352,33.3425,65.5684,295.1959,11.9236,13.0179,2.2785,7.1706,8.9984
1182.5,2.409,33.8307,65.8344,283.9487,14.7878,15.999,2.2738,7.4642,9.8296
1182.625,2.466,36.2293,74.287,269.2045,16.4382,18.0583,2.2639,8.7823,11.1617
1182.75,2.523,41.0095,86.8361,274.8147,11.7168,13.3692,2.2789,6.9065,9.1792
1182.875,2.58,46.1511,101,294.2516,7.8297,9.0723,2.3552,4.4065,5.1114
1183,2.636,48.0627,110.3994,297.1525,6.1651,7.2742,2.4008,3.0876,3.6476
1183.125,2.693,47.4789,119.4698,294.2742,4.9608,5.9678,2.4182,3.9732,4.6267
1183.25,2.75,45.7473,126.2629,296.1264,4.6168,5.8202,2.4332,3.8671,4.4928
1183.375,2.807,42.5864,128.2064,289.9918,5.1891,6.1609,2.4443,3.6862,4.2858
1183.5,2.864,36.1966,120.0879,281.4935,6.248,6.688,2.4415,4.9332,5.7118
1183.625,2.92,28.1618,110.1732,282.6161,6.8204,7.3131,2.4265,5.3046,6.1348
1183.75,2.977,20.854,104.5671,282.2662,7.6959,8.232,2.3948,5.4319,6.2802
1183.875,3.014,11.1456,97.2898,292.4639,8.9187,9.5929,2.3295,5.7347,6.7347
1184,3.038,0.7278,86.3043,297.7604,9.9889,10.8409,2.2513,6.231,7.826
1184.125,3.063,-9.9194,76.7576,302.4139,11.7585,12.7729,2.1652,5.8136,7.8405
1184.25,3.087,-15.197,72.7862,307.0201,13.1745,14.2281,2.1202,5.7325,7.924
1184.375,3.111,-21.9736,69.1998,304.8411,13.6879,14.9262,2.0716,4.674,7.3799
1184.5,3.135,-25.851,70.718,302.2457,13.5745,14.7938,2.057,4.3808,7.1426
1184.625,3.159,-30.1102,74.5083,301.1261,13.6096,14.7542,2.0636,4.7464,7.3097
1184.75,3.183,-35.8367,76.1795,298.786,13.5773,14.4647,2.0437,4.5478,6.6443
1184.875,3.207,-41.2006,73.8909,297.4498,14.0202,14.6869,1.9767,4.4025,6.1845
1185,3.231,-46.5412,69.1602,305.7915,15.3206,15.6285,1.9242,4.5515,7.0742
1185.125,3.255,-51.9304,62.9451,306.8725,18.0492,17.9295,1.9079,4.3108,7.3059
1185.25,3.279,-55.8736,59.2398,305.5769,20.7662,20.3403,1.9026,4.466,7.7621
1185.375,3.303,-58.763,59.5909,308.4186,24.0756,23.3508,1.8948,5.5113,8.9011
1185.5,3.327,-60.1481,64.9674,309.163,26.8216,25.9583,1.8903,6.7369,9.8847
1185.625,3.351,-60.9338,74.4514,307.8181,28.5941,27.8628,1.8798,6.9791,10.057
1185.75,3.375,-60.8523,78.4799,313.1578,27.7049,27.3909,1.8698,6.7787,9.7852
1185.875,3.399,-59.9008,81.1086,317.6349,26.6061,26.4136,1.8563,6.661,9.4559
1186,3.423,-58.3485,84.4683,320.3389,25.3178,25.5452,1.8355,6.3271,9.1777
1186.125,3.447,-55.6185,85.5958,318.4344,24.2905,24.5517,1.8366,6.213,9.4016
1186.25,3.471,-53.1734,83.5902,312.9883,24.2252,24.4168,1.8509,6.1227,9.2175
1186.375,3.495,-48.5237,77.8002,307.7404,24.7119,25.1114,1.8582,5.9527,9.0962
1186.5,3.519,-44.141,73.381,310.2071,25.3913,25.9356,1.8499,5.9146,9.3998
1186.625,3.543,-37.3247,65.5684,312.2375,27.0275,27.5391,1.8516,6.2852,9.7398
1186.75,3.567,-25.8104,55.0134,314.7204,30.8242,30.84,1.8865,6.8617,10.0982
1186.875,3.591,-13.3346,51.9482,314.8774,35.7312,34.5233,1.9124,6.7724,10.2555
1187,3.615,-0.2211,58.7295,307.4782,38.4553,37.4457,1.949,6.4083,10.129
1187.125,3.639,14.1396,71.9698,290.2502,29.5376,30.0732,2.0506,6.7448,10.5548
1187.25,3.663,26.2153,85.4312,260.0991,18.4533,19.4016,2.1812,8.8382,11.6246
1187.375,3.688,41.5442,106.2009,275.9356,10.8452,11.6776,2.3415,5.305,6.1812
1187.5,3.712,48.8822,116.9145,281.9905,7.9848,8.8322,2.3976,4.1188,4.7801
1187.625,3.736,54.4952,124.2914,284.2752,5.2811,6.0751,2.4325,3.9171,4.5488
1187.75,3.76,56.9281,124.909,291.8238,4.5341,5.4178,2.4404,3.5784,4.1609
1187.875,3.784,59.1062,122.2917,298.3522,4.5362,5.2537,2.4359,3.5918,4.1788
1188,3.808,59.899,116.9208,294.8565,4.6337,5.2123,2.4398,3.8957,4.5241
1188.125,3.832,59.8291,109.6122,293.1016,4.9091,5.4542,2.4788,3.7533,4.4346
1188.25,3.856,60.0495,108.7112,285.3591,5.3135,5.8272,2.4871,3.9537,4.6467
1188.375,3.88,60.1942,115.8665,274.8671,5.5338,6.1627,2.4439,4.2287,4.9082
1188.5,3.904,60.6958,126.3249,275.1356,5.2707,5.9516,2.4179,4.1211,4.7813
1188.625,3.928,61.538,138.4663,293.9671,4.9467,5.6698,2.4295,3.0642,3.5752
1188.75,3.952,61.4365,141.5771,297.2343,4.3801,5.117,2.4526,3.0951,3.6121
1188.875,3.976,60.4225,139.5206,297.2589,3.9707,4.6876,2.4501,2.9571,3.6112
1189,4,58.8132,140.9368,305.5143,3.8829,4.5676,2.4456,2.7376,3.4493
1189.125,4.03,57.1995,143.3277,309.7761,4.0124,4.6629,2.4507,2.8092,3.4689
1189.25,4.06,54.7298,140.7331,297.2885,4.1636,4.834,2.4702,3.2685,3.8505
1189.375,4.089,50.5725,125.2211,284.6467,4.6312,5.3083,2.5255,3.8297,4.4889
1189.5,4.119,47.8109,114.7851,280.1397,5.2242,5.7951,2.5705,3.9757,4.7148
1189.625,4.149,42.103,104.3829,257.678,6.1967,6.6934,2.5904,5.1488,6.349
1189.75,4.179,35.5496,99.6465,264.2328,6.883,7.372,2.5638,5.332,6.3226
1189.875,4.208,29.6908,95.9524,274.9278,7.4562,7.8958,2.5223,5.3498,6.4181
1190,4.238,20.2814,90.9215,280.2403,8.4068,8.9433,2.4214,5.1189,6.4457
1190.125,4.268,10.7801,87.0577,283.5635,8.3573,8.9618,2.3335,5.1953,7.2691
1190.25,4.298,3.1321,85.3748,279.04,8.6025,9.1941,2.2862,5.1361,7.2212
1190.375,4.327,-8.5477,83.4542,280.0488,9.5157,10.0404,2.2485,4.8536,6.7666
1190.5,4.357,-18.2787,80.157,284.7208,10.4726,10.9721,2.2219,4.7067,6.9167
1190.625,4.387,-28.9509,76.8142,285.3029,11.4791,11.8543,2.1575,4.7437,7.3449
1190.75,4.417,-39.6434,76.0721,293.5724,13.1177,13.4234,2.0651,4.0804,6.9373
1190.875,4.446,-45.3762,77.0408,298.4859,14.2981,14.6101,2.0315,3.3152,6.1178
1191,4.476,-51.4887,73.8625,286.5984,16.3877,16.7461,2.009,3.6881,6.7037
1191.125,4.506,-54.7432,69.5172,285.4398,18.4149,18.7304,2.0047,4.1661,7.5776
1191.25,4.536,-57.4795,65.1716,286.1047,21.4685,21.7049,2.0309,4.8371,8.57
1191.375,4.565,-58.1373,60.8487,290.2855,24.4813,24.7737,2.0654,5.8425,9.4035
1191.5,4.595,-57.1824,58.3616,298.9066,26.5935,27.0495,2.054,6.2385,9.3998
1191.625,4.625,-53.7784,57.2851,306.8196,28.0164,28.95,2.0052,6.2811,9.1259
1191.75,4.655,-50.101,56.7808,309.0575,27.4861,28.9548,1.9805,6.6142,9.5677
1191.875,4.685,-43.825,55.1153,305.5776,26.0562,28.0391,1.9801,6.6099,9.9024
1192,4.714,-34.5003,52.2937,284.8224,25.214,27.1089,2.0364,6.836,10.0159
1192.125,4.744,-23.0753,51.3702,303.9184,30.4264,31.9076,2.1388,6.7401,9.5643
1192.25,4.774,-13.4684,52.1351,285.8679,38.3548,39.4831,2.2622,6.4042,9.7885
1192.375,4.804,0.9182,55.9366,230.7051,45.5413,47.6258,2.4985,11.5213,17.2006
1192.5,4.833,11.0133,60.4406,216.4966,35.0826,38.3304,2.6452,17.7957,23.6835
1192.625,4.863,21.1184,68.004,232.9231,21.6302,24.4636,2.7067,18.8643,22.8301
1192.75,4.893,28.917,79.233,263.5818,12.7857,15.1112,2.6617,7.7737,8.9521
1192.875,4.923,31.5488,86.4908,268.0703,9.42,11.2783,2.5934,5.9819,6.9088
1193,4.952,30.6583,91.9638,273.6773,6.8923,8.3406,2.4781,5.6254,6.5005
1193.125,4.982,27.9703,91.437,278.0521,6.4254,7.9442,2.4081,5.6267,6.5034
1193.25,5.008,23.037,87.7318,276.1332,7.0578,8.1589,2.3603,5.4382,6.3334
1193.375,5.027,15.9693,85.6015,285.1104,8.2302,9.0481,2.3355,5.3732,6.8695
1193.5,5.045,10.4035,87.1765,289.5005,8.797,9.699,2.3078,6.0415,7.6913
1193.625,5.064,2.8119,89.1028,283.9586,9.5638,10.5794,2.2789,5.5331,7.7031
1193.75,5.083,-3.0387,87.2503,279.0004,10.5547,11.841,2.2624,5.492,7.566
1193.875,5.102,-8.4332,82.9161,291.3633,10.8784,12.3679,2.2299,5.4065,7.6191
1194,5.121,-15.7574,74.9845,295.2912,10.9887,12.6064,2.1684,5.6529,8.3343
1194.125,5.14,-19.811,67.8289,295.525,11.3039,12.8791,2.1429,5.1887,8.2001
1194.25,5.159,-21.1098,63.0131,286.7491,12.3215,13.9974,2.1249,4.3434,7.034
1194.375,5.178,-20.7462,60.3388,295.5421,12.8455,14.6652,2.0602,3.0537,6.0062
1194.5,5.197,-19.0306,61.7325,304.966,12.3235,14.0116,2.0206,3.1009,6.2344
1194.625,5.216,-14.2504,63.5341,298.663,11.4307,12.9192,2.0452,3.3218,5.9554
1194.75,5.235,-9.9216,64.5992,293.2046,10.6633,11.9593,2.1046,4.4176,6.9458
1194.875,5.254,-6.6213,66.8031,287.7972,10.601,11.7933,2.1423,5.4682,7.4493
1195,5.273,-2.9822,69.0863,299.5727,10.0738,11.1469,2.1405,5.3212,7.3355
1195.125,5.292,-0.9725,70.2478,301.6139,9.9917,10.9408,2.124,6.3721,8.8917
1195.25,5.311,3.7296,68.9506,297.7175,10.8612,11.598,2.1431,6.2794,7.525
1195.375,5.33,12.8743,68.7918,296.3493,13.6343,13.989,2.2564,6.1687,9.2299
1195.5,5.348,19.5359,73.1258,272.0066,13.2898,13.7779,2.3627,8.8712,11.7432
1195.625,5.367,31.0792,83.3294,250.3309,10.4239,10.7509,2.4745,8.3136,9.7764
1195.75,5.386,38.7165,91.4026,270.95,9.6227,9.8536,2.4848,4.5047,5.2205
1195.875,5.405,44.727,98.2694,283.1984,8.3996,8.7766,2.4503,4.4883,5.203
1196,5.424,49.409,104.8018,286.1006,6.4,6.8699,2.4344,5.6225,6.4987
1196.125,5.443,52.1427,108.9887,288.0251,5.7189,6.0339,2.4685,4.6349,5.3676
1196.25,5.462,54.0342,111.0283,283.8473,5.7839,5.9809,2.5186,4.4605,5.169
1196.375,5.481,55.8516,112.8188,281.1809,5.6857,5.9108,2.5741,4.0937,4.7504
1196.5,5.5,56.6473,114.5977,279.1748,5.4001,5.6723,2.5743,3.8703,4.4951
1196.625,5.519,57.2129,115.3512,285.8799,5.5275,5.7472,2.5398,4.6605,5.3989
1196.75,5.538,57.7814,114.4902,285.3284,5.6764,5.8502,2.5255,4.2468,4.9275
1196.875,5.557,58.1432,112.6546,278.3104,5.6254,5.8042,2.4961,4.6123,5.3455
1197,5.576,60.0499,109.5612,273.9618,5.3027,5.5119,2.4537,4.3201,5.0114
1197.125,5.595,61.4476,107.9521,285.2848,5.0841,5.3112,2.4679,3.6977,4.3007
1197.25,5.614,62.3549,112.9035,295.6199,4.6672,4.9122,2.5071,3.0281,3.5333
1197.375,5.633,62.8345,122.2063,297.7682,4.29,4.5196,2.5034,2.9937,3.5172
1197.5,5.652,63.2699,126.4952,301.2252,4.144,4.3249,2.5011,2.8843,3.4081
1197.625,5.67,63.5889,128.2687,305.2977,4.1111,4.2164,2.4938,2.6806,3.257
1197.75,5.689,63.467,130.9371,312.6678,4.0225,4.1109,2.4402,2.5768,3.2608
1197.875,5.708,63.4004,134.2515,313.4669,3.9037,4.0048,2.3982,2.5629,3.116
1198,5.727,62.5568,135.3789,318.0875,3.8406,4.0172,2.4171,2.5472,3.0701
1198.125,5.746,62.5207,131.9061,319.7926,4.0311,4.136,2.4526,2.5131,3.1205
1198.25,5.765,62.26,126.9318,306.7374,4.2876,4.2772,2.4672,2.7186,3.6809
1198.375,5.784,62.1083,122.354,283.0718,4.362,4.3209,2.4638,3.391,4.2335
