"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1265.25,0,67.1021,115.2877,337.6618,2.8679,3.2698,1.6224,1.9362
1265.375,0.008,67.2168,121.9319,355.8501,2.6001,2.8929,1.6138,1.8992
1265.5,0.017,67.2778,119.9563,350.0303,2.7404,2.9855,1.534,1.8935
1265.625,0.025,67.3055,114.0577,326.7755,3.1898,3.3984,1.8762,1.9747
1265.75,0.033,67.3193,108.5598,301.1978,3.5723,3.7706,1.7083,2.0676
1265.875,0.042,67.3708,102.6798,306.65,3.601,3.8114,3.5269,2.9283
1266,0.05,67.4247,98.7707,337.7189,3.4101,3.6589,3.2786,2.4122
1266.125,0.059,67.5581,99.7118,355.4043,3.1191,3.403,1.6476,1.8313
1266.25,0.067,67.6867,102.8801,350.4444,2.778,3.0421,1.4005,1.7475
1266.375,0.075,67.9235,107.0642,340.5235,2.4736,2.6962,1.4542,1.7923
1266.5,0.084,68.0351,109.5802,345.4589,2.4744,2.6675,1.4472,1.7858
1266.625,0.092,68.0733,114.081,349.965,2.5393,2.7012,1.3339,1.7608
1266.75,0.1,68.1037,113.5918,345.1467,2.5247,2.6966,1.3149,1.7156
1266.875,0.109,68.1154,110.5725,347.064,2.5331,2.7172,1.3878,1.8036
1267,0.117,68.1871,107.1527,348.7656,2.6479,2.8632,1.3113,1.7543
1267.125,0.125,68.2373,106.9244,341.2272,2.7764,3.0117,1.3532,1.7773
1267.25,0.134,68.3103,108.1917,332.8343,2.9067,3.1478,1.452,1.7767
1267.375,0.142,68.3458,112.5294,327.7238,2.9125,3.1661,1.7913,1.9365
1267.5,0.151,68.3262,116.2056,335.4779,2.8545,3.1212,1.9155,2.0246
1267.625,0.159,68.3511,117.6547,342.1328,2.7031,2.9797,1.6445,1.8201
1267.75,0.167,68.3675,114.7706,342.7205,2.5284,2.8066,1.203,1.7019
1267.875,0.176,68.346,112.5294,352.3666,2.4363,2.7057,1.4264,1.7552
1268,0.184,68.33,111.2389,347.8192,2.6954,3.017,1.361,1.791
1268.125,0.192,68.3005,111.579,341.4592,3.2494,3.6406,1.654,1.8928
1268.25,0.201,68.2938,114.1649,272.6662,3.7082,4.0481,4.3386,4.2043
1268.375,0.209,68.3289,113.3588,295.8213,3.7332,4.0307,11.834,7.7669
1268.5,0.217,68.3431,112.5155,327.5068,3.5587,3.9296,4.2011,2.9757
1268.625,0.226,68.4527,113.1305,343.884,3.1734,3.6357,1.6471,1.8809
