"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1200.25,0,72.7001,121.9537,313.338,2.9139,3.481,1.6981,1.7826
1200.375,0.008,72.0143,111.3089,347.6693,2.794,3.3337,2.47,2.9036
1200.5,0.017,71.2251,103.6522,349.1585,3.1516,3.5564,2.8102,3.3977
1200.625,0.025,71.2366,101.8967,339.4504,3.6869,3.9382,3.1239,3.9771
1200.75,0.033,71.7959,100.2907,330.7817,3.9564,4.1366,2.9644,3.6215
1200.875,0.042,72.602,96.8918,309.1027,3.8337,4.0636,2.734,3.2869
1201,0.05,73.1483,94.987,300.3376,3.5347,3.8516,1.4291,1.392
1201.125,0.059,73.0847,102.7931,319.684,3.1831,3.5436,1.362,1.3542
1201.25,0.067,73.0449,110.4499,355.865,2.8168,3.2033,1.7798,1.9012
1201.375,0.075,73.3146,111.0475,355.9414,2.7155,3.0852,1.9478,2.1453
1201.5,0.084,73.9221,106.7896,340.3638,2.777,3.1064,1.4656,1.445
1201.625,0.092,74.6347,107.4992,342.9408,2.7548,3.132,2.1301,2.4193
1201.75,0.1,75.1825,112.0933,339.9071,2.7701,3.1822,1.7019,1.8068
1201.875,0.109,74.5926,114.4463,336.694,2.9542,3.3285,1.6611,1.8446
1202,0.117,73.3245,116.5006,353.3959,3.1686,3.499,2.3366,2.7098
1202.125,0.125,72.1829,116.6126,352.8723,3.1914,3.5338,2.5017,2.9495
1202.25,0.134,71.8304,115.6042,334.3848,3.1744,3.5364,2.559,3.0327
1202.375,0.142,72.2419,110.786,320.6253,3.1424,3.5305,2.2231,2.545
1202.5,0.151,73.1559,110.2258,318.8525,2.9839,3.4231,2.3001,2.6568
1202.625,0.159,74.1827,115.903,318.439,2.7905,3.2875,1.6429,1.8672
1202.75,0.167,73.8072,116.7994,327.3204,2.6895,3.2227,1.5838,1.9971
1202.875,0.176,73.1276,111.3089,358.4984,2.9847,3.473,1.9621,2.5889
1203,0.184,72.2212,106.192,364.9642,3.5474,3.9233,4.693,6.1318
1203.125,0.192,72.4127,106.6028,328.267,3.9199,4.2214,4.2757,5.5259
1203.25,0.201,73.1866,104.1751,286.5749,3.8901,4.2134,2.5622,3.0374
1203.375,0.209,74.0693,100.2907,295.8411,3.7331,4.1379,2.3275,2.6966
1203.5,0.217,74.1214,99.7678,333.7182,3.5389,3.9951,1.9532,2.1531
1203.625,0.226,73.267,101.5979,352.5543,3.0303,3.5115,2.5605,3.035
1203.75,0.234,72.9797,103.1293,338.9507,2.8121,3.275,1.5064,1.5487
1203.875,0.242,73.077,103.9883,340.7826,2.9431,3.3659,2.3911,2.8113
1204,0.251,73.3245,102.1582,355.1908,2.933,3.3821,2.2411,2.571
1204.125,0.259,73.9107,103.316,336.6933,2.7576,3.2578,2.2649,2.6057
1204.25,0.268,73.133,109.927,324.5313,2.6402,3.131,1.6321,1.6867
1204.375,0.276,71.5967,112.9523,331.8382,2.5934,3.0995,1.7017,1.7878
1204.5,0.284,70.5662,110.2258,348.9615,2.551,3.1392,2.3893,2.7863
1204.625,0.293,70.5317,102.6064,349.3395,2.8124,3.4513,2.603,3.0967
1204.75,0.301,70.7577,98.0497,344.7254,3.5925,4.2145,4.3311,6.237
1204.875,0.309,70.829,95.5099,328.8724,4.7125,5.2283,6.8074,10.0593
1205,0.318,70.6964,97.228,283.5016,6.0378,6.2903,4.9733,6.8617
1205.125,0.326,70.2712,108.0595,240.9075,6.8692,6.8447,4.9091,6.4455
1205.25,0.334,70.3861,115.6042,242.1255,6.6257,6.6004,3.8547,4.9145
1205.375,0.343,71.1845,113.4005,262.0991,5.112,5.3928,2.2414,2.5716
1205.5,0.351,71.9147,105.7438,284.9532,3.3936,4.0187,1.355,1.4341
1205.625,0.36,72.5851,99.8798,333.817,3.1683,3.6989,2.117,2.3909
1205.75,0.368,72.4357,98.3485,364.5523,3.115,3.5569,3.489,4.3834
1205.875,0.376,71.7806,102.3076,324.0953,3.1205,3.4964,2.9061,3.5369
1206,0.385,71.0336,109.3294,286.8522,3.0391,3.4303,1.6278,1.6804
1206.125,0.393,70.9171,113.4379,314.8054,2.8678,3.3273,1.8401,2.0135
1206.25,0.401,71.1025,107.3125,325.9658,3.1266,3.5318,1.4216,1.4302
1206.375,0.41,71.196,98.2738,349.874,3.8177,4.0522,1.5725,2.0692
1206.5,0.418,70.8267,94.987,364.1308,4.3019,4.3908,2.9134,5.3894
1206.625,0.426,69.8552,96.7798,297.3065,4.6775,4.6356,5.3005,7.1069
1206.75,0.435,69.2713,95.2111,256.8937,4.6101,4.5482,2.5847,3.2558
1206.875,0.443,69.8306,94.5388,290.2694,3.7047,3.8627,2.051,2.295
