"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1248.25,0,66.1258,94.0652,283.3299,5.4548,5.6866,4.4386,5.2588
1248.375,0.008,66.3442,97.4709,267.2578,4.0751,4.6521,2.6793,3.1751
1248.5,0.017,66.7418,106.8709,289.7762,3.303,4.0313,1.8778,2.2255
1248.625,0.025,67.5604,121.2408,323.7463,2.5645,3.3465,1.8547,2.1979
1248.75,0.033,68.1126,122.9737,337.8766,2.5479,3.2172,2.0307,2.4119
1248.875,0.042,68.532,117.1539,346.8408,2.9527,3.4367,1.9253,2.3268
1249,0.05,68.7828,107.1979,333.0133,3.4402,3.782,1.8714,2.2161
1249.125,0.059,68.9101,101.4925,316.9547,3.5783,3.9064,2.8137,3.3335
1249.25,0.067,69.1318,98.3428,299.4054,3.4912,3.8655,2.4779,2.9361
1249.375,0.075,69.3922,102.8713,317.9614,3.1917,3.6752,1.7762,2.1058
1249.5,0.084,69.5712,109.3559,326.9355,2.8421,3.4216,1.6657,1.9748
1249.625,0.092,69.6831,115.4972,333.4,2.4736,3.0982,1.6606,1.968
1249.75,0.1,69.6844,115.3828,332.9158,2.415,3.0336,1.6317,1.9346
1249.875,0.109,69.5422,113.4155,333.7738,2.4275,3.036,1.4897,1.7666
1250,0.117,69.4336,116.3473,333.8399,2.4201,3.0377,1.6157,1.9177
1250.125,0.125,69.2877,118.9248,334.2406,2.4441,3.0662,1.7835,2.115
1250.25,0.134,69.1331,116.3255,338.0772,2.6579,3.2432,1.7786,2.1082
1250.375,0.142,68.9921,109.1052,339.8566,2.8776,3.4388,1.6683,1.9766
1250.5,0.151,68.7559,104.4188,335.4808,2.9717,3.5224,1.753,2.078
1250.625,0.159,68.44,105.8901,316.719,2.98,3.5308,2.1517,2.7682
1250.75,0.167,68.1561,109.1597,313.2738,2.8989,3.4876,2.0941,2.8424
1250.875,0.176,67.9467,111.4756,323.539,2.6705,3.3255,1.8752,2.2227
1251,0.184,67.8319,110.304,327.9134,2.4138,3.1426,2.1053,2.5045
1251.125,0.192,67.6263,110.6527,332.0742,2.3637,3.124,2.2892,2.7971
1251.25,0.201,67.4381,111.1214,337.0271,2.8045,3.4572,2.4159,2.8933
1251.375,0.209,67.1782,109.3504,334.7126,3.6015,4.049,2.5249,3.1302
1251.5,0.217,67.1202,101.5198,301.8369,4.1807,4.476,3.3026,5.0919
1251.625,0.226,67.3229,96.8878,294.2143,4.1156,4.448,3.1765,4.252
1251.75,0.234,67.7942,101.5143,312.9181,3.7434,4.2341,2.5539,3.1175
1251.875,0.242,68.3115,108.2279,329.4144,3.3174,3.9519,2.24,2.6688
1252,0.251,68.9333,109.8463,338.2578,2.6982,3.4249,1.7971,2.1306
1252.125,0.259,69.3967,99.6125,326.8161,2.4867,3.1423,2.2391,2.671
1252.25,0.268,69.3946,94.3649,317.0951,2.5843,3.1849,2.3168,2.7593
1252.375,0.276,69.0962,94.1577,330.6959,2.6593,3.2617,1.8161,2.1527
1252.5,0.284,68.7638,98.4736,331.5149,2.5709,3.2088,1.6667,1.976
1252.625,0.293,68.331,103.6722,336.7423,2.4314,3.0634,1.5944,1.8904
1252.75,0.301,67.7673,109.4322,333.8601,2.395,3.022,1.5934,1.8887
1252.875,0.309,67.3764,112.2058,337.242,2.3707,3.0701,1.7117,2.0286
1253,0.318,66.7699,111.116,343.162,2.5007,3.3033,2.1377,2.5321
1253.125,0.326,66.3024,108.7183,332.3045,3.1935,3.9101,2.4985,2.9604
1253.25,0.334,66.0748,106.9908,321.2881,4.2528,4.7837,2.3807,2.8211
1253.375,0.343,66.1556,102.1519,304.3723,5.6142,5.9987,3.5921,4.4599
1253.5,0.351,66.4276,96.7898,274.2371,5.8765,6.2767,4.9585,5.9495
1253.625,0.36,66.9333,96.0869,268.531,5.318,5.8804,3.0919,3.6618
1253.75,0.368,67.5687,103.6832,288.8955,4.1885,4.9893,2.5449,3.0141
1253.875,0.376,68.1975,108.5984,306.7395,3.2742,4.1657,2.0294,2.4051
1254,0.385,69.2533,110.0043,328.533,2.7935,3.6017,1.7962,2.1282
1254.125,0.393,69.9318,106.5277,339.6499,2.8107,3.5188,1.6914,2.005
1254.25,0.401,70.4036,101.4762,321.2884,2.8822,3.5003,1.5042,1.784
1254.375,0.41,70.581,99.4054,291.7405,3.0027,3.5707,2.626,3.1118
1254.5,0.418,70.697,100.1192,302.3476,3.0187,3.6056,2.6349,3.1229
1254.625,0.426,70.9582,105.2471,330.2187,2.7252,3.3948,1.7697,2.0967
1254.75,0.435,71.0846,109.443,336.0178,2.5051,3.1887,1.7715,2.0992
1254.875,0.443,70.8637,112.6254,335.539,2.4919,3.0941,1.6751,1.985
1255,0.452,70.4222,108.7128,328.1293,2.5269,3.0954,2.0663,2.4485
1255.125,0.46,70.045,105.8193,331.1889,2.4428,3.0545,2.1746,2.5759
1255.25,0.468,69.623,107.2688,337.6359,2.3117,2.9558,1.7021,2.0175
1255.375,0.477,69.4191,110.5873,346.7507,2.3251,2.9474,1.568,1.8584
1255.5,0.485,69.3001,110.8817,348.008,2.2925,2.9023,1.565,1.856
1255.625,0.493,69.2906,104.6912,336.9244,2.1931,2.8031,1.7238,2.0417
1255.75,0.502,69.2835,98.2502,319.6878,2.132,2.7487,2.0626,2.4436
1255.875,0.51,69.3499,93.7163,343.0552,2.0971,2.7242,1.6244,1.9254
1256,0.518,69.5629,96.9642,353.5471,2.056,2.6972,1.6207,1.921
1256.125,0.527,69.9045,105.7321,344.7771,2.1516,2.7562,1.5374,1.8214
1256.25,0.535,70.0454,109.1652,347.2074,2.3098,2.8866,1.4566,1.7258
1256.375,0.543,70.1051,110.0153,344.8139,2.461,3.0351,1.5312,1.8148
1256.5,0.552,70.1345,110.6855,342.1445,2.692,3.2395,1.9611,2.4032
1256.625,0.56,70.0939,114.8324,341.4785,2.9001,3.3991,1.8127,2.1703
1256.75,0.569,69.8622,117.0394,341.2675,2.9491,3.4358,1.9968,2.3674
1256.875,0.577,69.4945,114.0314,338.0265,2.8801,3.3854,1.9502,2.3109
1257,0.585,68.9407,109.3232,338.567,2.7672,3.2804,1.9767,2.3419
1257.125,0.594,68.3045,109.0943,340.8152,2.6069,3.1106,2.1485,2.5457
1257.25,0.602,67.9144,110.4402,342.8244,2.4118,2.9408,1.8057,2.1407
1257.375,0.61,67.4199,110.0751,339.6949,2.2345,2.7746,1.6004,1.8984
1257.5,0.619,67.2454,110.1024,337.3439,2.2846,2.7952,1.7973,2.1316
1257.625,0.627,67.1198,114.718,343.0907,2.3841,2.8568,2.1301,2.5256
1257.75,0.635,66.9598,118.4017,338.9431,2.4438,2.8668,2.5913,3.0925
1257.875,0.644,66.8802,110.1841,321.13,2.5243,2.8909,2.2823,2.7204
1258,0.652,66.9142,94.2831,330.5942,2.6125,2.9716,1.808,2.1424
1258.125,0.661,67.1405,96.0651,342.4776,2.3642,2.8251,1.7097,2.0242
1258.25,0.669,67.3449,102.8003,333.9315,2.077,2.5929,1.8026,2.1375
1258.375,0.677,67.6906,106.6094,332.6881,1.9398,2.4357,1.739,2.0619
1258.5,0.686,67.9637,106.6912,352.7898,1.8878,2.3953,1.4972,1.775
1258.625,0.694,68.6203,107.2796,360.6883,1.7387,2.3088,1.2838,1.5218
1258.75,0.702,69.2114,107.2198,350.2164,1.7597,2.3099,1.3147,1.5577
1258.875,0.711,69.5812,107.0399,355.6717,1.8907,2.4015,1.4639,1.7349
1259,0.719,69.8576,109.3777,356.8065,2.0578,2.5791,1.4119,1.6744
1259.125,0.727,69.8597,110.4348,341.123,2.1816,2.7303,1.4464,1.716
1259.25,0.736,69.5609,108.4459,335.3324,2.6785,3.1324,1.5327,1.818
1259.375,0.744,69.0804,105.0945,333.9342,3.3236,3.6531,1.5513,1.8817
1259.5,0.753,68.576,99.5635,324.45,3.6805,3.9675,1.7466,2.5272
1259.625,0.761,67.8116,89.8202,302.9288,3.6546,4.0129,2.6086,3.2264
