"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1398.125,0,68.7113,116.6169,328.7688,3.5876,3.8441,2.3511,2.0492,2.389
1398.25,0.008,68.9541,118.7101,326.9162,3.4966,3.7285,2.3612,2.0542,2.3942
1398.375,0.017,69.2077,116.1042,326.7899,3.395,3.5835,2.3894,2.0698,2.3963
1398.5,0.025,70.4641,113.8441,325.3963,3.1873,3.3441,2.4161,2.0822,2.4145
1398.625,0.034,72.2752,112.9206,327.9639,2.9518,3.1227,2.414,2.0374,2.3571
1398.75,0.042,73.963,111.0717,333.787,2.8615,3.0607,2.3858,1.9511,2.2729
1398.875,0.05,75.85,110.0562,335.1636,2.9083,3.132,2.3426,1.9403,2.2563
1399,0.059,77.0353,105.9456,331.0184,3.0594,3.3172,2.3214,2.02,2.3386
1399.125,0.067,77.8981,100.5334,328.3277,3.6058,3.8996,2.3441,2.1214,2.4694
1399.25,0.076,77.6042,95.1612,319.5705,4.3638,4.6982,2.3773,2.4015,2.8265
1399.375,0.084,76.1904,90.2031,305.9322,4.9581,5.335,2.406,2.9023,3.4539
1399.5,0.092,74.2759,86.3168,293.3573,4.8552,5.2659,2.415,3.4138,3.9588
1399.625,0.101,73.9621,89.287,290.5045,4.4541,4.861,2.379,3.4085,3.9501
1399.75,0.109,74.7216,96.0489,291.4961,3.9018,4.3081,2.336,3.2525,3.7819
1399.875,0.118,75.4029,104.0627,299.1725,3.3661,3.728,2.3036,2.8869,3.2913
1400,0.126,75.5892,109.8985,311.9326,3.0559,3.3265,2.2902,2.417,2.7566
1400.125,0.134,75.9353,109.3475,322.1601,3.1431,3.3332,2.3184,2.1299,2.4565
1400.25,0.143,76.2506,107.2302,327.46,3.2543,3.406,2.3748,2.0462,2.3638
1400.375,0.151,74.422,106.6902,327.466,3.3521,3.485,2.4206,2.0494,2.3696
1400.5,0.16,71.346,109.7193,322.5337,3.4039,3.5371,2.4362,2.1348,2.4521
1400.625,0.168,69.7198,111.2909,322.2573,3.3183,3.4557,2.4152,2.121,2.4447
1400.75,0.176,69.6534,110.2626,324.76,3.1633,3.3002,2.3964,2.0736,2.3836
1400.875,0.185,70.668,107.716,326.9552,3.0062,3.1392,2.3979,2.0365,2.3478
1401,0.193,71.8485,105.2319,329.1638,2.9529,3.0674,2.4251,2.0089,2.3252
1401.125,0.202,71.6077,105.1001,332.6925,2.9367,3.0587,2.4603,1.9591,2.2627
1401.25,0.21,70.9951,104.476,334.0397,2.9409,3.0953,2.4865,1.9456,2.2513
1401.375,0.218,70.8197,103.6172,333.8651,2.9977,3.1869,2.4998,1.9578,2.2602
1401.5,0.227,71.602,102.8812,332.783,3.1162,3.3244,2.5006,1.9785,2.2874
1401.625,0.235,72.4838,101.751,329.7833,3.1864,3.3923,2.5046,2.0262,2.3708
1401.75,0.244,73.2542,101.1174,329.4336,3.1815,3.3977,2.5112,2.0379,2.3795
1401.875,0.252,74.0673,100.8159,329.4547,3.1034,3.3335,2.5004,2.0377,2.3779
1402,0.261,75.1673,101.3097,331.3278,2.9919,3.2336,2.4765,2.0067,2.3277
1402.125,0.269,77.1609,103.7369,333.7089,2.9434,3.199,2.4682,1.9528,2.2632
1402.25,0.277,79.2446,105.7395,333.5304,3.1171,3.4096,2.4724,1.9525,2.2663
1402.375,0.286,80.1691,103.7038,330.8696,3.6417,4.0017,2.4729,2.0296,2.3705
1402.5,0.294,80.0221,95.9062,321.023,4.058,4.4515,2.4694,2.3161,2.7367
1402.625,0.303,79.2873,88.579,305.8361,4.058,4.451,2.4954,2.8843,3.4467
1402.75,0.311,77.9574,85.8682,297.101,3.9928,4.3979,2.4971,3.3203,3.8481
1402.875,0.319,75.5039,87.9713,295.6397,3.8436,4.2495,2.4566,3.3161,3.8915
1403,0.328,71.1421,93.2627,296.9554,3.418,3.7507,2.3707,3.1777,3.6763
1403.125,0.336,70.5352,94.449,306.7518,3.1049,3.4091,2.3161,2.7803,3.1971
1403.25,0.345,71.1966,93.0347,319.3642,3.0772,3.3466,2.2962,2.3329,2.7135
1403.375,0.353,74.0304,94.1635,328.2404,3.1127,3.3685,2.2877,2.1202,2.4839
1403.5,0.361,77.9361,98.7201,330.6982,3.0541,3.3028,2.2781,2.0399,2.3843
1403.625,0.37,78.3296,101.8818,331.9425,2.9076,3.1175,2.2751,1.9856,2.3178
1403.75,0.378,76.1273,102.804,337.4394,2.8841,3.0912,2.2786,1.8979,2.2186
1403.875,0.387,73.6515,101.4849,337.8945,2.8865,3.1392,2.2769,1.9014,2.2213
1404,0.395,71.7489,100.698,332.7301,2.9654,3.2759,2.2932,1.9891,2.3217
1404.125,0.403,71.1042,101.3065,329.4434,3.4179,3.7832,2.3219,2.0566,2.4339
1404.25,0.412,71.0141,101.8821,323.4279,4.0052,4.4035,2.3592,2.2174,2.6259
1404.375,0.42,71.0411,102.1431,311.2433,4.4508,4.848,2.4092,2.647,3.1152
1404.5,0.429,71.2891,102.8943,303.6649,4.4282,4.8086,2.4563,2.8905,3.3898
1404.625,0.437,70.8424,103.4613,302.7913,4.1368,4.4723,2.4161,2.8826,3.3611
1404.75,0.445,71.1492,103.107,304.0088,3.7998,4.1228,2.3355,2.7924,3.2912
1404.875,0.454,72.0391,100.6564,308.9271,3.5426,3.8544,2.2558,2.6356,3.0738
1405,0.462,73.1049,95.5595,317.8746,3.4731,3.7353,2.2177,2.3716,2.8101
1405.125,0.471,74.2869,92.2031,318.2954,3.5213,3.711,2.2499,2.3825,2.8274
1405.25,0.479,75.3048,89.596,318.9013,3.5547,3.6944,2.3003,2.3834,2.829
1405.375,0.487,76.7778,90.349,320.7074,3.4871,3.5912,2.3407,2.3044,2.747
1405.5,0.496,79.2636,94.6682,322.121,3.3044,3.3771,2.3516,2.227,2.6269
1405.625,0.504,81.8844,100.0495,322.9181,3.0991,3.1387,2.3342,2.1586,2.527
1405.75,0.513,83.2769,104.9552,325.7521,2.9729,2.9869,2.3199,2.053,2.4014
1405.875,0.521,83.7733,110.359,330.5686,2.9325,2.9305,2.3139,1.9227,2.2866
1406,0.529,83.3077,111.4671,334.1931,2.9404,2.9178,2.3244,1.8554,2.218
1406.125,0.538,83.0896,110.4988,333.6084,2.8531,2.8043,2.3353,1.8607,2.221
1406.25,0.546,82.8858,106.6338,336.4235,2.7838,2.7093,2.3436,1.8233,2.1859
1406.375,0.555,81.4838,101.2722,343.1077,2.7764,2.6778,2.3511,1.7535,2.1155
1406.5,0.563,76.6465,100.0557,348.3052,2.818,2.6928,2.3607,1.7148,2.0732
1406.625,0.571,75.9519,98.5752,342.3492,2.7081,2.5818,2.3418,1.7722,2.1337
1406.75,0.58,76.4094,103.3138,346.3883,2.7226,2.5865,2.335,1.7054,2.0624
1406.875,0.588,76.8632,109.2069,350.1478,2.7976,2.6662,2.3328,1.6566,2.0217
1407,0.597,75.9638,113.3561,348.4215,2.8721,2.7681,2.3345,1.6667,2.0378
1407.125,0.605,71.9395,115.9428,347.8442,2.9365,2.867,2.341,1.6707,2.0391
1407.25,0.613,67.7451,114.2475,349.1808,3.0501,3.0138,2.3345,1.6664,2.0351
1407.375,0.622,64.5178,108.9387,345.9222,3.1524,3.1451,2.3392,1.7035,2.065
1407.5,0.63,64.1111,107.7735,342.5931,3.197,3.2109,2.3577,1.7379,2.1029
1407.625,0.639,65.1508,109.4353,341.0547,3.1852,3.2078,2.3736,1.7525,2.1204
1407.75,0.647,64.6041,111.639,340.2081,3.1491,3.1691,2.3788,1.7603,2.1196
1407.875,0.655,62.3545,115.7749,340.683,3.085,3.0886,2.3758,1.7444,2.1126
1408,0.664,61.9728,115.8642,340.6406,2.9857,2.9518,2.3798,1.7406,2.1046
1408.125,0.672,63.4701,108.6149,341.7042,2.867,2.8256,2.4038,1.728,2.0891
1408.25,0.681,67.2805,100.2989,342.6367,2.8681,2.8037,2.4025,1.7432,2.0968
1408.375,0.689,71.4109,92.8742,341.4144,2.9251,2.8267,2.3733,1.8171,2.1605
1408.5,0.697,73.304,88.0238,336.1245,2.9281,2.8012,2.3234,1.9286,2.2777
1408.625,0.706,75.0431,88.6264,332.2534,2.9143,2.7723,2.2882,1.9887,2.3372
1408.75,0.714,75.8287,90.0737,335.9511,2.9454,2.7898,2.2827,1.9234,2.2714
1408.875,0.723,77.0409,89.8783,335.9506,2.8267,2.6905,2.302,1.9254,2.2749
1409,0.731,79.0313,90.4313,336.2277,2.5961,2.4905,2.3295,1.9102,2.2604
1409.125,0.739,80.8092,93.8518,346.9082,2.4611,2.3612,2.328,1.7397,2.0643
1409.25,0.748,81.3615,96.397,355.1971,2.4096,2.3161,2.3003,1.6353,1.9632
1409.375,0.756,80.4455,99.0284,352.4773,2.3695,2.3004,2.2689,1.6456,1.9793
1409.5,0.765,78.9127,96.1654,356.9829,2.4283,2.3666,2.258,1.6272,1.9617
1409.625,0.773,78.1328,94.4832,354.8827,2.5468,2.4998,2.2835,1.6732,1.9949
1409.75,0.782,77.5497,95.017,347.9269,2.6786,2.6706,2.3224,1.7401,2.0679
1409.875,0.79,76.7214,97.0767,340.5758,2.869,2.9165,2.3637,1.8096,2.148
1410,0.798,75.2858,101.164,334.7329,3.2379,3.3389,2.3939,1.8892,2.2762
1410.125,0.807,75.9614,96.271,325.8699,3.498,3.6091,2.4261,2.1284,2.5557
1410.25,0.815,77.2676,91.4428,317.8139,3.557,3.648,2.4654,2.3974,2.9117
1410.375,0.824,77.3932,88.6672,316.2719,3.4895,3.5524,2.4933,2.4757,3.0428
1410.5,0.832,75.2336,89.5458,321.6395,3.3266,3.376,2.4916,2.2882,2.7881
1410.625,0.84,72.159,95.1058,322.4921,2.9649,3.0321,2.4525,2.2036,2.6347
1410.75,0.849,70.9098,98.3982,327.5367,2.6041,2.6732,2.413,2.0445,2.4512
1410.875,0.857,69.0276,99.081,340.6292,2.4922,2.562,2.3721,1.8045,2.1491
1411,0.866,67.3824,99.8197,349.2232,2.5845,2.667,2.3295,1.7217,2.058
1411.125,0.874,66.4721,99.9989,347.7117,2.7634,2.8577,2.3172,1.7371,2.0725
1411.25,0.882,65.4907,99.1002,344.084,2.9392,3.0504,2.3395,1.7798,2.1265
1411.375,0.891,64.7904,98.2748,339.5691,3.0763,3.2261,2.38,1.8622,2.2082
1411.5,0.899,65.7847,96.649,337.8626,3.1411,3.3409,2.4171,1.9076,2.2782
1411.625,0.908,66.7424,96.9946,333.0621,3.0312,3.27,2.4254,1.9988,2.3966
1411.75,0.916,67.2852,97.9176,332.2618,2.9472,3.2011,2.4312,2.005,2.4049
1411.875,0.924,67.8067,98.6494,335.4736,2.9622,3.2343,2.4362,1.9455,2.3416
1412,0.933,68.8711,98.5715,339.2331,3.1074,3.438,2.4392,1.9056,2.2631
1412.125,0.941,70.3731,98.9589,330.3172,3.0989,3.4653,2.4528,2.0741,2.5195
1412.25,0.95,72.0571,103.5483,328.0075,3.0892,3.4679,2.4553,2.1026,2.5602
1412.375,0.958,73.4851,111.0639,331.3253,3.0681,3.4605,2.4435,2.0257,2.4859
1412.5,0.966,74.6315,120.3035,335.3652,3.0488,3.4762,2.4231,1.9799,2.416
1412.625,0.975,74.6989,126.668,335.6901,3.0772,3.5472,2.4133,1.9891,2.4325
1412.75,0.983,72.6047,125.9218,337.4963,3.1411,3.6227,2.4246,1.978,2.4273
1412.875,0.992,69.3656,118.8237,337.9019,3.2329,3.7238,2.4434,2.0033,2.4556
1413,1,70.4783,109.3421,328.1372,3.3506,3.8901,2.4392,2.2254,2.7523
1413.125,1.035,70.9738,102.552,319.9759,3.4984,4.0591,2.3946,2.4732,3.0602
1413.25,1.069,69.4898,97.9197,312.8215,3.4646,4.0196,2.3451,2.7449,3.4244
1413.375,1.104,67.9916,95.1029,306.0322,3.2465,3.8067,2.3001,3.0273,3.8107
1413.5,1.139,69.8525,95.0818,309.8874,3.2192,3.8766,2.2389,2.887,3.6468
1413.625,1.174,70.2081,90.184,312.2328,4.0862,4.8922,2.2074,3.0037,3.8183
1413.75,1.208,67.3065,89.0462,302.018,4.8108,5.6266,2.2182,3.4839,4.402
1413.875,1.243,63.7009,89.975,289.8209,5.4168,6.1302,2.2781,3.8225,4.9118
1414,1.278,61.7547,92.8272,284.5076,5.9106,6.4755,2.3657,3.9267,5.0606
1414.125,1.313,61.7618,104.3155,281.9889,5.7441,6.2871,2.3574,3.8288,4.813
1414.25,1.347,61.4869,110.2094,280.1026,4.9342,5.4955,2.3385,3.737,4.6643
1414.375,1.382,61.1232,113.9023,286.4627,4.3012,4.868,2.337,3.4458,4.3155
1414.5,1.417,60.0385,114.332,296.7914,4.2711,4.852,2.3818,3.1936,3.9538
1414.625,1.451,57.9287,112.724,296.0784,5.2182,6.0817,2.4598,3.3369,4.1631
1414.75,1.486,56.2574,110.4978,286.841,6.6682,7.971,2.5223,3.7316,4.7362
1414.875,1.521,55.8521,104.6702,277.5164,8.1755,9.7557,2.5673,4.1734,5.3138
1415,1.556,55.8663,98.5118,269.6998,9.0839,10.5152,2.5912,4.5367,5.9486
1415.125,1.59,53.1876,91.7563,268.2076,8.855,9.9353,2.5698,4.7289,6.2113
1415.25,1.625,52.4029,89.9143,269.5028,7.9486,8.8163,2.5157,4.6022,6.0485
1415.375,1.66,54.0609,91.7021,273.7543,6.5384,7.3165,2.4496,4.3264,5.4987
1415.5,1.694,56.8667,92.1252,282.6292,4.864,5.5322,2.406,3.9268,5.0061
1415.625,1.729,60.8577,97.9901,293.5063,4.3374,4.9025,2.409,3.4676,4.3893
1415.75,1.764,63.4757,103.9575,301.2679,4.0837,4.5769,2.406,3.1551,3.8995
1415.875,1.799,65.4111,110.3466,306.7973,3.9453,4.3813,2.3939,2.9004,3.6317
