"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1350.25,0,72.4366,97.3095,245.9805,6.1526,5.6581,4.6891,4.4534
1350.375,0.008,72.4366,97.7052,269.8154,6.308,5.7853,4.0146,5.5587
1350.5,0.017,72.4366,101.02,288.1509,5.7474,5.3277,4.589,6.3918
1350.625,0.025,72.4366,104.1373,308.8369,4.7417,4.5075,3.4181,4.6264
1350.75,0.033,72.4366,112.7982,344.8106,3.7852,3.7272,1.9205,2.4344
1350.875,0.042,72.8344,116.1266,305.6229,3.2578,3.2975,2.1416,2.6322
1351,0.05,72.8344,109.1894,340.7606,3.2148,3.2621,3.5014,4.7836
1351.125,0.059,72.8344,101.372,283.9802,3.4131,3.4239,2.0486,2.5841
1351.25,0.067,73.2322,100.526,316.1793,3.5346,3.5225,2.1917,2.6715
1351.375,0.075,73.2322,96.8891,320.2999,3.4131,3.4239,3.1926,4.3413
1351.5,0.084,73.2322,101.8745,340.6902,3.1009,3.1696,2.0401,2.5794
1351.625,0.092,73.2322,107.9811,332.473,2.768,2.8979,2.0019,2.5066
1351.75,0.1,73.2322,111.5018,335.2478,2.5327,2.706,2.0785,2.6474
1351.875,0.109,73.2322,115.0413,333.0027,2.4205,2.6142,1.7282,2.0959
1352,0.117,73.2322,119.0534,336.8222,2.3959,2.5947,2.2447,2.9097
1352.125,0.125,73.2322,120.1353,339.3665,2.432,2.624,1.6591,1.8489
1352.25,0.134,72.8344,120.3096,341.8343,2.5189,2.6947,1.7341,2.1288
1352.375,0.142,73.2322,116.1087,334.9715,2.6335,2.788,1.7779,2.1968
1352.5,0.151,73.2322,110.1405,330.3951,2.7257,2.8633,1.931,2.4438
1352.625,0.159,73.2322,103.1546,313.5435,2.7457,2.8798,1.8159,2.2737
1352.75,0.167,72.8344,106.3361,326.6988,2.7073,2.8483,2.1543,2.7436
1352.875,0.176,72.8344,107.6102,328.9588,2.7127,2.8528,2.7649,3.6466
1353,0.184,72.8344,113.8715,330.8668,2.8972,3.0033,1.9332,2.4438
1353.125,0.192,72.8344,113.9262,325.0628,3.2955,3.3284,1.7648,1.9528
1353.25,0.201,72.8344,112.7469,292.2458,3.7499,3.6986,2.2638,2.9431
1353.375,0.209,72.4366,107.8239,261.4873,3.9852,3.8905,2.7224,3.1866
1353.5,0.217,72.8344,105.8251,289.9462,3.8421,3.7738,5.4203,7.6621
1353.625,0.226,72.4366,103.2751,316.2515,3.4439,3.4495,2.3653,3.061
1353.75,0.234,72.4366,102.4582,327.8799,3.0694,3.144,1.8649,2.3277
1353.875,0.242,72.4366,103.6409,326.8766,2.8841,2.9927,1.8141,1.9768
1354,0.251,72.4366,101.2515,328.6191,2.8495,2.9641,4.118,5.7095
1354.125,0.259,72.4366,103.7443,330.9337,2.815,2.9355,2.2032,2.8604
1354.25,0.268,72.4366,106.5019,356.6256,2.7004,2.843,1.7144,2.09
1354.375,0.276,72.4366,107.5256,311.8784,2.5704,2.7369,1.8701,2.3417
1354.5,0.284,72.4366,111.4454,342.5973,2.635,2.7896,1.5859,1.8577
1354.625,0.293,72.4366,110.8968,361.8154,3.1525,3.2117,1.8768,2.347
1354.75,0.301,72.0388,108.2238,326.8256,4.235,4.0944,1.7618,2.1305
1354.875,0.309,72.0388,101.2703,265.6756,5.6352,5.2359,2.2734,2.9519
1355,0.318,72.0388,98.4597,233.8153,6.7477,6.1434,3.1086,3.5786
1355.125,0.326,71.641,93.4769,240.0233,6.9837,6.3361,6.0033,8.5146
1355.25,0.334,71.641,96.2499,263.2607,6.2449,5.7333,3.0454,4.0843
1355.375,0.343,71.2432,102.8914,304.2992,5.0755,4.7799,3.4981,4.7707
1355.5,0.351,71.2432,102.2488,353.4495,4.1128,3.995,1.9665,2.4585
1355.625,0.36,71.2432,102.8273,321.0268,3.6368,3.6068,1.6651,2.1681
1355.75,0.368,71.2432,102.3924,301.0228,3.47,3.4705,2.5263,3.4677
1355.875,0.376,71.2432,101.4729,292.3523,3.3224,3.3502,3.3356,4.7602
1356,0.385,71.2432,104.533,325.9103,3.1663,3.2222,1.841,2.3946
1356.125,0.393,70.8454,106.3532,345.7656,3.2171,3.2643,2.1973,2.9783
1356.25,0.401,70.8454,107.8256,310.7026,3.6322,3.6023,1.6311,2.0619
1356.375,0.41,70.8454,106.5343,273.2108,4.2735,4.1253,2.5939,3.1027
1356.5,0.418,70.8454,108.8091,256.7094,4.7579,4.5203,2.6888,3.1708
1356.625,0.426,70.8454,108.422,286.0449,4.7456,4.5105,2.8408,3.1461
1356.75,0.435,70.8454,110.3807,298.8798,4.2036,4.0688,3.0772,4.3659
1356.875,0.443,71.2432,118.1066,326.382,3.4131,3.4239,1.8335,2.0173
1357,0.452,70.8454,115.8053,342.8833,2.7203,2.8588,1.8119,2.201
1357.125,0.46,71.641,116.9555,363.4206,2.3097,2.5239,1.6371,2.1241
1357.25,0.468,72.0388,118.4518,350.326,2.1522,2.396,1.677,1.9398
1357.375,0.477,72.0388,114.9029,340.8178,2.1084,2.3598,1.832,2.3905
