"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1280.125,0,69.0617,113.3716,298.1974,5.1832,5.381,3.1184,2.6199
1280.25,0.008,69.079,116.984,333.8484,3.942,4.3977,2.29,2.2154
1280.375,0.017,69.0775,118.7612,356.3464,3.1045,3.6375,1.9669,2.1811
1280.5,0.025,69.0738,118.4146,355.8528,3.0912,3.5464,2.3385,2.3138
1280.625,0.034,69.0642,115.9995,318.5496,3.5971,3.8231,3.9885,2.9405
1280.75,0.042,69.0479,112.8399,279.2055,4.1074,4.1674,7.3463,3.9762
1280.875,0.05,69.0282,111.4951,292.0312,4.3629,4.3597,5.1416,3.0773
1281,0.059,69.0057,113.2516,327.8927,4.2994,4.3379,2.7609,2.3757
1281.125,0.067,69.0114,115.135,340.4562,3.9701,4.1229,2.3329,2.1049
1281.25,0.076,69.05,121.4233,349.6449,3.3373,3.6634,1.8793,2.0234
1281.375,0.084,69.1149,130.2914,345.6381,2.7689,3.1616,1.8564,2.0456
1281.5,0.092,69.144,128.257,345.5969,2.6642,3.0308,1.8,1.9352
1281.625,0.101,69.1418,121.0081,359.645,2.6488,3.0127,1.5083,1.9761
1281.75,0.109,69.1101,120.3358,347.4328,2.64,3.0335,1.9296,2.1329
1281.875,0.118,69.0855,121.0699,361.318,2.71,3.0943,1.6827,2.051
1282,0.126,69.0838,121.3581,349.6168,2.964,3.2953,2.243,2.3106
1282.125,0.134,69.1154,119.0802,333.4447,3.0978,3.4151,2.8541,2.4447
1282.25,0.143,69.1905,114.171,330.2423,3.126,3.4634,2.4846,2.1668
1282.375,0.151,69.3063,110.953,340.7047,3.0766,3.4496,1.8978,1.9071
1282.5,0.16,69.3865,112.809,341.5718,2.9739,3.3981,1.6606,1.9076
1282.625,0.168,69.4802,118.0338,348.0075,2.7254,3.252,1.2417,1.8154
1282.75,0.176,69.5202,118.4524,362.6906,2.7177,3.2479,1.8735,2.0261
1282.875,0.185,69.5228,114.6924,352.5639,2.9796,3.4345,2.036,2.1116
1283,0.193,69.4943,108.7575,299.5012,3.4571,3.8082,9.7654,4.2657
1283.125,0.202,69.4677,108.483,288.2564,3.6066,3.9302,9.1131,3.708
1283.25,0.21,69.4398,110.1023,324.4101,3.6018,3.9437,2.3393,2.1142
1283.375,0.218,69.4214,112.4317,339.2938,3.4985,3.8854,1.4675,1.9267
1283.5,0.227,69.3972,112.1812,339.175,3.2303,3.6959,2.2644,2.1441
1283.625,0.235,69.3493,110.6031,326.8407,2.8691,3.3508,4.2578,2.5089
1283.75,0.244,69.2888,112.0371,335.4859,2.8581,3.2615,2.1518,2.308
1283.875,0.252,69.2257,112.3768,340.8418,2.9032,3.2699,2.0886,2.0764
1284,0.261,69.1081,111.5328,339.9218,2.8482,3.2321,1.815,1.9397
1284.125,0.269,69.0213,113.6941,345.7247,2.711,3.132,1.521,1.9227
1284.25,0.277,68.9128,119.2517,355.733,2.5515,3.0595,1.7359,1.9512
1284.375,0.286,68.8213,121.5468,357.6704,2.5247,3.256,1.9602,2.0407
1284.5,0.294,68.7385,117.5056,348.286,2.8765,3.6906,2.2786,2.1544
1284.625,0.303,68.6526,110.1091,297.8934,3.9799,4.4574,9.2291,5.1579
1284.75,0.311,68.6083,106.4487,244.5839,5.0455,5.234,14.1856,6.7302
1284.875,0.319,68.5884,102.9598,245.8869,6.7655,6.5522,11.1534,4.859
1285,0.328,68.6123,103.4194,263.0692,7.0783,6.8703,7.2673,3.6447
1285.125,0.336,68.6684,109.9891,279.4773,5.8692,6.0666,5.1805,2.7116
1285.25,0.345,68.7276,118.4112,322.8524,4.1606,4.6664,1.7488,1.9798
1285.375,0.353,68.7643,120.1471,360.078,3.4502,3.9034,1.8179,2.1151
1285.5,0.361,68.7883,117.8177,335.0778,3.2559,3.628,4.9279,3.5103
1285.625,0.37,68.8199,111.9136,286.5188,3.1303,3.4288,7.0948,3.6817
1285.75,0.378,68.8539,109.9891,322.3497,3.1313,3.3972,2.9831,2.3949
1285.875,0.387,68.8825,112.6135,349.7412,3.0691,3.4288,2.1648,2.1744
1286,0.395,68.8919,114.9017,373.3547,3.008,3.4924,1.6298,2.0162
1286.125,0.403,68.888,114.7748,360.8668,3.3193,3.714,3.0243,3.1508
1286.25,0.412,68.8885,112.3253,299.8778,3.9261,4.1021,10.358,7.2924
1286.375,0.42,68.9163,108.7884,239.8533,4.6042,4.5887,19.5507,11.0839
1286.5,0.429,68.9937,109.6563,266.7441,4.9124,4.8315,11.3369,5.7748
1286.625,0.437,69.1481,114.1573,315.9376,4.5007,4.5656,1.8999,2.1753
1286.75,0.445,69.3064,118.1196,348.9931,3.5369,3.8398,1.6841,2.0595
1286.875,0.454,69.4749,121.0528,368.598,2.665,3.0981,1.3878,1.88
1287,0.462,69.6145,120.5999,384.0345,2.4241,2.8194,1.2988,1.8269
1287.125,0.471,69.6963,118.1779,381.3597,2.4822,2.8018,1.3458,1.7792
1287.25,0.479,69.7466,114.099,334.6462,2.5832,2.8275,1.5089,1.9895
1287.375,0.487,69.7389,110.6031,327.3117,2.5901,2.8086,2.4681,2.2238
1287.5,0.496,69.6971,109.8827,385.1262,2.57,2.7867,1.1165,1.6974
1287.625,0.504,69.6504,112.7679,386.0831,2.5387,2.7723,0.9049,1.6706
1287.75,0.513,69.6123,114.3322,361.4026,2.4267,2.7111,1.118,1.7143
1287.875,0.521,69.5911,114.0818,375.4299,2.4269,2.7074,1.2532,1.7887
1288,0.529,69.5751,115.6187,361.022,2.5608,2.8191,1.2867,1.8915
1288.125,0.538,69.5693,117.7628,365.3922,2.6763,2.9532,1.4057,1.9566
1288.25,0.546,69.5837,118.6891,371.2695,2.772,3.0503,1.4034,1.908
1288.375,0.555,69.6272,119.2791,377.9641,2.9489,3.1829,1.3743,1.9321
1288.5,0.563,69.6941,119.3203,358.0273,3.0601,3.2704,1.7418,2.1499
1288.625,0.571,69.7591,118.7509,347.466,3.0163,3.2467,1.5316,2.0038
1288.75,0.58,69.8155,118.1505,360.0166,2.9373,3.1714,1.3807,1.9731
1288.875,0.588,69.8768,117.6324,357.0126,2.8194,3.0519,1.4912,1.9209
1289,0.597,69.9337,116.6582,349.7025,2.6349,2.9109,1.5066,1.8301
1289.125,0.605,69.9964,114.9257,351.6138,2.5086,2.8021,1.466,1.8689
1289.25,0.613,70.0381,112.4214,374.9305,2.5632,2.8177,1.3323,1.7918
1289.375,0.622,70.0791,108.2841,340.5228,2.6695,2.8823,1.8855,2.1191
1289.5,0.63,70.0957,106.3595,314.3204,2.6736,2.8732,3.6531,2.5833
1289.625,0.639,70.1158,106.1296,346.5628,2.7133,2.8669,1.8749,1.9356
1289.75,0.647,70.148,110.4522,363.2097,2.7415,2.8821,1.0609,1.6965
1289.875,0.655,70.1709,117.1076,355.9387,2.5378,2.7612,1.3649,1.8983
1290,0.664,70.1713,119.9241,364.2574,2.3089,2.5767,1.4684,1.7619
1290.125,0.672,70.145,118.2602,384.7998,2.2155,2.4789,0.9222,1.586
1290.25,0.681,70.1114,116.2808,391.5258,2.1664,2.4527,0.8181,1.5446
1290.375,0.689,70.0458,113.9994,376.135,2.0911,2.4282,0.9555,1.6189
1290.5,0.697,69.9942,112.809,386.2963,2.1317,2.4651,1.0395,1.6657
1290.625,0.706,69.914,114.1093,367.7611,2.2585,2.5814,1.2211,1.7731
1290.75,0.714,69.7909,116.9052,350.2821,2.4754,2.8044,1.8008,1.9865
1290.875,0.723,69.7019,116.0475,355.8732,2.7395,3.0205,1.6307,1.953
1291,0.731,69.5829,111.6255,333.0849,3.4398,3.5461,2.7521,2.3379
1291.125,0.739,69.514,108.2909,300.2208,3.7936,3.8393,4.801,3.2315
1291.25,0.748,69.4862,107.7935,287.3186,3.7447,3.7995,5.5517,3.1771
1291.375,0.756,69.4925,111.7043,338.4527,3.4448,3.56,1.4342,1.9031
1291.5,0.765,69.5281,115.7284,348.0962,3.1216,3.3073,1.4483,1.8577
1291.625,0.773,69.5981,119.5948,351.5981,2.6653,2.947,1.5586,1.9414
1291.75,0.782,69.6975,120.6205,351.7273,2.2103,2.6415,1.8102,1.9134
1291.875,0.79,69.7462,118.6479,364.2678,2.0903,2.6752,1.2852,1.7374
1292,0.798,69.7577,115.5364,407.1217,2.3758,3.0653,1.1344,1.7851
1292.125,0.807,69.7083,112.7644,345.0364,3.1346,3.5367,2.4417,2.7984
1292.25,0.815,69.6497,108.6065,261.6837,3.8493,3.9631,12.5456,7.8812
1292.375,0.824,69.5802,103.4572,246.6964,4.9224,4.7439,16.0585,6.969
1292.5,0.832,69.5672,105.3303,310.531,5.2995,5.1281,3.898,2.8274
1292.625,0.84,69.5959,111.2241,331.9765,4.7366,4.8761,2.0187,2.2511
1292.75,0.849,69.6641,116.8537,354.6068,3.4696,3.9161,1.5622,1.9298
1292.875,0.857,69.742,120.0304,358.3628,2.697,3.2051,1.6889,1.9134
1293,0.866,69.8144,118.3769,365.4613,2.4297,2.9264,1.657,1.9696
1293.125,0.874,69.8297,117.8417,368.7397,2.3778,2.8906,1.7211,1.8991
1293.25,0.882,69.8041,118.1025,371.6049,2.4572,2.952,1.5175,1.9935
