"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1407.5,0,73.2355,102.5051,328.0189,3.4626,3.2788,2.3919,2.1078,2.4448
1407.625,0.008,72.976,103.2334,333.5659,3.3458,2.9678,2.3547,2.0025,2.3271
1407.75,0.017,73.08,104.119,336.2324,3.3221,3.0611,2.4061,1.9682,2.2852
1407.875,0.025,72.9832,103.4079,332.2473,3.4027,3.5223,2.3937,2.0351,2.3609
1408,0.034,73.3742,97.1091,321.9043,3.8424,4.3617,2.3813,2.2867,2.6889
1408.125,0.042,73.8227,93.0125,306.956,5.0232,5.4854,2.4637,2.8327,3.3656
1408.25,0.05,74.0152,90.7549,293.1929,7.5254,6.8356,2.5053,3.4688,4.054
1408.375,0.059,74.3206,90.3,289.0267,8.5472,7.666,2.5085,3.704,4.3239
1408.5,0.067,74.6059,91.56,290.0181,8.2819,7.0656,2.516,3.639,4.1799
1408.625,0.076,74.7224,95.174,293.1854,6.0266,6.0889,2.5154,3.3735,3.9365
1408.75,0.084,74.5665,100.8315,302.3674,4.6203,5.1717,2.4575,2.9072,3.4149
1408.875,0.092,74.0446,106.7647,310.5271,4.0009,4.2692,2.3623,2.5347,2.9447
1409,0.101,73.4531,109.3496,316.589,3.6931,3.5354,2.3423,2.3179,2.6553
1409.125,0.109,74.2173,103.9465,320.0321,3.7123,3.9582,2.3993,2.2643,2.6084
1409.25,0.117,74.4589,98.2629,323.6328,3.7957,4.3908,2.3724,2.2257,2.603
1409.375,0.126,74.6268,94.2451,325.5596,3.883,4.5058,2.3972,2.2252,2.5946
1409.5,0.134,74.4529,94.4719,326.2545,3.7857,4.0389,2.4132,2.1875,2.5529
1409.625,0.143,73.9709,99.6618,327.6588,3.5495,3.6282,2.4385,2.1024,2.4398
1409.75,0.151,73.7174,105.5892,332.3068,3.3556,3.2556,2.4584,1.9721,2.2834
1409.875,0.159,73.5392,111.7123,336.3864,3.2552,3.0273,2.3933,1.8896,2.194
1410,0.168,73.4771,119.1525,338.5886,3.2183,3.0566,2.36,1.8428,2.1506
1410.125,0.176,73.3857,121.1085,338.5084,3.2177,3.0325,2.4185,1.8386,2.1471
