"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1258.5,0,72.0161,102.9532,291.0396,5.7664,6.5114,4.5936,6.1383
1258.625,0.008,72.0108,104.9086,263.6818,5.3377,5.9616,5.7057,5.6312
1258.75,0.017,72.0827,107.032,277.4393,4.698,5.2041,2.2261,2.3564
1258.875,0.025,72.2347,111.5832,309.5959,3.9326,4.3436,1.5745,1.7616
1259,0.034,72.4191,117.202,330.453,3.2,3.4312,1.9948,1.6199
1259.125,0.042,72.5917,119.4215,350.6602,2.8584,2.9053,1.4504,1.5691
1259.25,0.05,72.7062,114.4245,351.1429,3.1068,3.0839,1.8379,1.6398
1259.375,0.059,72.7744,106.1346,328.0005,3.4255,3.3998,2.1394,2.2387
1259.5,0.067,72.8283,102.4906,304.787,3.606,3.5864,3.2855,2.5857
1259.625,0.076,72.9042,107.517,312.0265,3.666,3.6601,1.4809,1.6862
1259.75,0.084,73.0006,113.5206,329.8851,3.4812,3.5234,1.7352,1.5777
1259.875,0.092,73.1016,116.526,338.6424,3.1252,3.1704,1.3652,1.3887
1260,0.101,73.1688,118.7391,342.666,2.8458,2.8226,1.3278,1.283
1260.125,0.109,73.198,124.7496,344.053,2.7825,2.7065,1.2173,1.2758
1260.25,0.117,73.193,128.7963,346.4628,2.8171,2.7275,1.2785,1.2555
1260.375,0.126,73.1676,124.5811,348.3193,2.8519,2.7734,1.4578,1.5343
1260.5,0.134,73.128,125.5522,343.5053,2.8994,2.8559,1.4868,1.4574
1260.625,0.143,73.0899,130.2076,345.4895,2.9938,2.9889,1.2193,1.293
1260.75,0.151,73.0408,129.0224,343.1496,3.1511,3.1817,1.643,1.5326
1260.875,0.159,73.0059,122.2822,334.9078,3.2232,3.2631,1.4467,1.4558
1261,0.168,72.9976,117.8844,327.7004,3.193,3.241,1.6219,1.5504
1261.125,0.176,73.0251,116.3531,332.2454,3.1078,3.1584,1.4228,1.3949
1261.25,0.185,73.0814,116.4388,339.1106,2.9875,3.0124,1.2512,1.2178
1261.375,0.193,73.1349,119.4527,340.481,2.8271,2.8495,1.3254,1.3416
1261.5,0.201,73.1581,121.3377,347.3467,2.7493,2.7848,1.4092,1.5584
1261.625,0.21,73.1345,121.3458,350.2229,3.0889,3.1777,1.6401,1.6412
1261.75,0.218,73.0765,118.6631,338.7832,3.5256,3.6618,1.7702,2.2198
1261.875,0.227,73.0239,113.775,298.0445,3.7134,3.8419,5.7476,6.2662
1262,0.235,73.0006,111.7874,286.4278,3.671,3.8157,1.9421,1.9468
1262.125,0.243,73.0192,112.258,319.7744,3.5159,3.7085,1.297,1.347
1262.25,0.252,73.0652,113.7098,337.4424,3.2676,3.4752,1.1892,1.2323
1262.375,0.26,73.103,115.3012,342.6785,2.9874,3.1007,1.8584,1.7298
1262.5,0.268,73.1028,113.6396,328.7037,2.9715,2.9875,2.1464,1.9233
1262.625,0.277,73.0545,109.7614,335.753,3.0823,3.0726,1.3073,1.2997
1262.75,0.285,72.9629,108.3253,342.0867,3.0927,3.1285,1.3917,1.3216
1262.875,0.294,72.8586,111.1951,342.655,2.9288,2.949,1.2417,1.2284
1263,0.302,72.7453,121.0515,340.7484,2.7953,2.695,1.3293,1.3279
1263.125,0.31,72.6339,128.411,344.5336,2.7454,2.6292,1.1279,1.1628
1263.25,0.319,72.5051,128.1958,347.7122,2.6411,2.6093,1.226,1.3279
1263.375,0.327,72.359,123.4807,344.4516,2.7776,2.8549,1.4133,1.3711
1263.5,0.336,72.1794,114.2375,341.9812,3.5195,3.8194,1.6497,1.8196
1263.625,0.344,71.9937,105.1164,322.5822,4.6296,5.1927,3.8844,5.1613
1263.75,0.352,71.8159,97.6738,273.8266,5.8378,6.6067,7.7422,9.0791
1263.875,0.361,71.7067,94.5961,255.5468,6.5181,7.3909,5.6143,5.4593
1264,0.369,71.6982,98.6429,273.2893,5.9674,6.8546,3.4439,3.3195
1264.125,0.378,71.8015,105.1569,294.2922,4.6024,5.3219,2.6382,2.2585
1264.25,0.386,72.0017,113.5556,318.0849,3.4685,3.8475,1.5572,1.4435
1264.375,0.394,72.224,123.3007,338.2024,3.0942,3.2488,1.5158,1.4588
1264.5,0.403,72.4361,125.1644,350.8813,3.077,3.1109,1.9326,2.1061
1264.625,0.411,72.604,118.376,328.2599,3.1198,3.0822,3.4839,3.769
1264.75,0.419,72.7605,114.3343,314.1822,3.223,3.1458,2.3466,2.601
1264.875,0.428,72.9197,116.1119,328.1916,3.294,3.2209,2.1623,2.4647
1265,0.436,73.1038,119.7084,341.3039,3.2174,3.1565,1.9332,2.1542
1265.125,0.445,73.2798,123.1785,344.1455,3.1017,2.9964,1.7722,1.9765
1265.25,0.453,73.4546,121.4535,337.0147,3.1037,2.9423,2.0257,2.5336
1265.375,0.461,73.6233,118.8844,341.0272,3.1131,2.939,1.773,1.9107
1265.5,0.47,73.827,119.6397,345.2538,3.0099,2.8535,1.6033,1.6473
1265.625,0.478,74.0468,119.1027,351.4065,2.8503,2.6913,1.5057,1.6972
1265.75,0.487,74.2712,119.0781,361.3999,2.7563,2.5822,1.4686,1.3061
1265.875,0.495,74.4327,118.1369,358.6756,2.7057,2.4942,1.4432,1.2361
1266,0.503,74.5219,116.0332,340.0546,2.6564,2.401,1.8401,1.473
1266.125,0.512,74.5427,114.8066,348.7267,2.6546,2.3813,1.2702,1.3611
1266.25,0.52,74.5294,112.6913,371.0519,2.6664,2.3779,1.236,1.2529
1266.375,0.529,74.5023,110.1727,362.8495,2.6528,2.354,1.3658,1.3525
1266.5,0.537,74.4656,109.7998,358.6329,2.6938,2.3977,1.138,1.1775
1266.625,0.545,74.4123,112.4533,364.7012,2.8209,2.5578,1.3445,1.5875
1266.75,0.554,74.3439,115.5752,360.8378,2.9155,2.7021,1.5007,1.7743
1266.875,0.562,74.2753,119.042,355.5732,3.0326,2.8467,1.6786,1.9565
1267,0.57,74.2056,120.915,352.6692,3.2192,3.0387,1.4624,1.4985
1267.125,0.579,74.1378,119.9759,351.8993,3.27,3.1032,1.6308,1.9462
1267.25,0.587,74.0565,120.5914,349.9822,3.188,3.042,1.3279,1.6407
1267.375,0.596,73.9563,123.2745,351.1284,3.0942,2.9243,1.3983,1.683
1267.5,0.604,73.8328,124.2089,354.2063,3.0008,2.7908,1.4183,1.594
1267.625,0.612,73.673,121.6233,352.9902,2.8498,2.6083,1.2572,1.3605
1267.75,0.621,73.4675,117.7537,350.5313,2.7332,2.4562,1.768,1.5
1267.875,0.629,73.254,112.225,353.4024,2.7541,2.464,1.4203,1.2949
1268,0.638,73.0491,113.1982,353.363,2.7994,2.4923,1.4879,1.4834
1268.125,0.646,72.9028,116.0814,331.7325,2.8122,2.4735,1.5573,1.4406
